"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","eu.siacs.conversations.ui.text","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/eu/siacs/conversations/ui/text/QuoteSpan.java","3","43","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.yaxim.androidclient","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/MainWindow.java","3","73","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.yaxim.androidclient","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/MainWindow.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaxim.androidclient","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/XMPPRosterServiceAdapter.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaxim.androidclient.chat","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/chat/ChatWindow.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.yaxim.androidclient.chat","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/chat/ChatWindow.java","3","735","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yaxim.androidclient.data","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/data/ChatHelper.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaxim.androidclient.data","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/data/RosterProvider.java","3","23","The class 'RosterProvider' is suspected to be a Data Class (WOC=0.000%, NOPA=8, NOAM=0, WMC=5)","Design","DataClass"
"1","org.yaxim.androidclient.data","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/data/YaximConfiguration.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaxim.androidclient.packet.httpupload","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/packet/httpupload/Slot.java","3","8","The class 'Slot' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=2, WMC=3)","Design","DataClass"
"1","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/GenericService.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/GenericService.java","3","200","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/ParcelablePresence.java","3","9","The class 'ParcelablePresence' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=4)","Design","DataClass"
"1","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/Smackable.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/SmackableImp.java","3","110","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/SmackableImp.java","3","110","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/SmackableImp.java","3","374","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/SmackableImp.java","3","1408","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/SmackableImp.java","3","1419","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/SmackableImp.java","3","2183","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/XMPPService.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/XMPPService.java","3","261","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/XmppStreamHandler.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.yaxim.androidclient.service","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/service/XmppStreamHandler.java","3","141","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yaxim.androidclient.util","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/util/SimpleCursorTreeAdapter.java","3","103","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.yaxim.androidclient.util","/home/matheus/smell-and-machine-learning/repositories/ge0rg_yaxim/src/org/yaxim/androidclient/util/XMPPHelper.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
