"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.liato.bankdroid","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/app/src/main/java/com/liato/bankdroid/BankEditActivity.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.liato.bankdroid","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/app/src/main/java/com/liato/bankdroid/LockableActivity.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.liato.bankdroid.appwidget","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/app/src/main/java/com/liato/bankdroid/appwidget/AutoRefreshService.java","3","292","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.liato.bankdroid.db","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/app/src/main/java/com/liato/bankdroid/db/DBAdapter.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.liato.bankdroid.lockpattern","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/app/src/main/java/com/liato/bankdroid/lockpattern/LockPatternView.java","3","50","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.liato.bankdroid.lockpattern","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/app/src/main/java/com/liato/bankdroid/lockpattern/LockPatternView.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.liato.bankdroid.lockpattern","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/app/src/main/java/com/liato/bankdroid/lockpattern/LockPatternView.java","3","446","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.liato.bankdroid.lockpattern","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/app/src/main/java/com/liato/bankdroid/lockpattern/LockPatternView.java","3","648","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.margaritov.preference.colorpicker","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/app/src/main/java/net/margaritov/preference/colorpicker/ColorPickerView.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.liato.bankdroid.banking","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/Account.java","3","26","The class 'Account' is suspected to be a Data Class (WOC=3.846%, NOPA=0, NOAM=19, WMC=26)","Design","DataClass"
"1","com.liato.bankdroid.banking","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/Bank.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.liato.bankdroid.banking","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/Bank.java","3","485","The class 'LoginPackage' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=5, WMC=7)","Design","DataClass"
"1","com.liato.bankdroid.banking","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/BankChoice.java","3","19","The class 'BankChoice' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","com.liato.bankdroid.banking","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/Transaction.java","3","21","The class 'Transaction' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=10)","Design","DataClass"
"1","com.liato.bankdroid.banking.banks.americanexpress.model","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/banks/americanexpress/model/Card.java","3","9","The class 'Card' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=12, WMC=16)","Design","DataClass"
"1","com.liato.bankdroid.banking.banks.americanexpress.model","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/banks/americanexpress/model/LoginResponse.java","3","12","The class 'LoginResponse' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=6, WMC=9)","Design","DataClass"
"1","com.liato.bankdroid.banking.banks.americanexpress.model","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/banks/americanexpress/model/LogonData.java","3","6","The class 'LogonData' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","com.liato.bankdroid.banking.banks.americanexpress.model","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/banks/americanexpress/model/SummaryData.java","3","8","The class 'SummaryData' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","com.liato.bankdroid.banking.banks.americanexpress.model","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/banks/americanexpress/model/Transaction.java","3","8","The class 'Transaction' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","com.liato.bankdroid.banking.banks.americanexpress.model","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/banks/americanexpress/model/TransactionDetails.java","3","10","The class 'TransactionDetails' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=6, WMC=9)","Design","DataClass"
"1","com.liato.bankdroid.banking.banks.coop","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/banks/coop/Coop.java","3","139","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.liato.bankdroid.banking.banks.coop","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/com/liato/bankdroid/banking/banks/coop/Coop.java","3","340","The class 'TransactionParams' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","eu.nullbyte.android.urllib","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/eu/nullbyte/android/urllib/Urllib.java","3","89","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","eu.nullbyte.android.urllib","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/eu/nullbyte/android/urllib/Urllib.java","3","448","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","eu.nullbyte.android.urllib","/home/matheus/smell-and-machine-learning/repositories/android-bankdroid/bankdroid-legacy/src/main/java/eu/nullbyte/android/urllib/Urllib.java","3","463","Avoid long parameter lists.","Design","ExcessiveParameterList"
