"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","au.id.micolous.metrodroid.test","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/extra/attic/seq_go/SeqGoConcessionFareTest.java","3","21","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","au.id.micolous.metrodroid.test","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/extra/attic/seq_go/SeqGoConcessionFareTest.java","3","149","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.transit.seq_go","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/extra/attic/seq_go/SeqGoFareCalculator.java","3","257","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.test","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/extra/attic/seq_go/SeqGoFareTest.java","3","21","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","au.id.micolous.metrodroid.test","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/extra/attic/seq_go/SeqGoFareTest.java","3","149","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.transit.seq_go","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/extra/attic/seq_go/SeqGoZoneCalculator.java","3","51","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.test","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/androidTest/java/au/id/micolous/metrodroid/test/ImportKeysTest.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","au.id.micolous.metrodroid.test","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/androidTest/java/au/id/micolous/metrodroid/test/LuhnTest.java","3","35","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","au.id.micolous.metrodroid.test","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/androidTest/java/au/id/micolous/metrodroid/test/LuhnTest.java","3","230","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/MetrodroidApplication.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","au.id.micolous.metrodroid.activity","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/activity/CardInfoActivity.java","3","94","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","au.id.micolous.metrodroid.activity","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/activity/CardInfoActivity.java","3","131","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.card.classic","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/card/classic/ClassicCard.java","3","178","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.card.desfire","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/card/desfire/DesfireCard.java","3","109","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.card.felica","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/card/felica/FeliCaLib.java","3","278","The class 'ReadResponse' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=7)","Design","DataClass"
"1","au.id.micolous.metrodroid.card.felica","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/card/felica/FelicaCard.java","3","96","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.fragment","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/fragment/CardBalanceFragment.java","3","116","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.fragment","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/fragment/CardTripsFragment.java","3","148","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.fragment","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/fragment/CardsFragment.java","3","213","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.fragment","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/fragment/ExpandableListFragment.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","au.id.micolous.metrodroid.transit","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/TransitCurrency.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","au.id.micolous.metrodroid.transit","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/Trip.java","3","55","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.transit.chc_metrocard","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/chc_metrocard/ChcMetrocardTransitData.java","3","50","The class 'ChcMetrocardTransitData' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","au.id.micolous.metrodroid.transit.en1545","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/en1545/En1545FixedInteger.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","au.id.micolous.metrodroid.transit.en1545","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/en1545/En1545Parsed.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","au.id.micolous.metrodroid.transit.en1545","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/en1545/En1545Subscription.java","3","46","The class 'En1545Subscription' is suspected to be a Data Class (WOC=25.000%, NOPA=26, NOAM=0, WMC=5)","Design","DataClass"
"1","au.id.micolous.metrodroid.transit.hsl","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/hsl/HSLTransitData.java","3","144","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.transit.nextfare","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/nextfare/NextfareTransitData.java","3","111","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.transit.octopus","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/octopus/OctopusTransitData.java","3","54","The class 'OctopusTransitData' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=6)","Design","DataClass"
"1","au.id.micolous.metrodroid.transit.suica","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/suica/SuicaTransitData.java","3","100","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","au.id.micolous.metrodroid.transit.troika","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/transit/troika/TroikaBlock.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","au.id.micolous.metrodroid.ui","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/ui/TabPagerAdapter.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","au.id.micolous.metrodroid.util","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/util/ExportHelper.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","au.id.micolous.metrodroid.util","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/util/Utils.java","3","102","Avoid really long classes.","Design","ExcessiveClassLength"
"2","au.id.micolous.metrodroid.util","/home/matheus/smell-and-machine-learning/repositories/micolous_metrodroid/src/main/java/au/id/micolous/metrodroid/util/Utils.java","3","102","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
