"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","nitezh.ministock.activities","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/activities/PortfolioActivity.java","3","160","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","nitezh.ministock.activities","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/activities/PreferencesActivity.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","nitezh.ministock.activities","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/activities/PreferencesActivity.java","3","384","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","nitezh.ministock.activities.widget","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/activities/widget/WidgetProviderBase.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","nitezh.ministock.activities.widget","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/activities/widget/WidgetRow.java","3","31","The class 'WidgetRow' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=22)","Design","DataClass"
"1","nitezh.ministock.activities.widget","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/activities/widget/WidgetView.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","nitezh.ministock.domain","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/domain/AndroidWidget.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","nitezh.ministock.domain","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/domain/PortfolioStockRepository.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","nitezh.ministock.domain","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/domain/StockQuote.java","3","33","The class 'StockQuote' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=33)","Design","DataClass"
"1","nitezh.ministock.domain","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/domain/Widget.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","nitezh.ministock.domain","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/main/java/nitezh/ministock/domain/WidgetStock.java","3","34","The class 'WidgetStock' is suspected to be a Data Class (WOC=11.765%, NOPA=0, NOAM=14, WMC=42)","Design","DataClass"
"1","nitezh.ministock.mocks","/home/matheus/smell-and-machine-learning/repositories/ministocks/src/test/java/nitezh/ministock/mocks/MockWidget.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
