"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.zxing.integration.android","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/android-integration/src/main/java/com/google/zxing/integration/android/IntentIntegrator.java","3","110","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.zxing.integration.android","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/android-integration/src/main/java/com/google/zxing/integration/android/IntentResult.java","3","24","The class 'IntentResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=7)","Design","DataClass"
"1","com.google.zxing.client.android","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/android/src/com/google/zxing/client/android/CaptureActivity.java","3","81","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.google.zxing.client.android","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/android/src/com/google/zxing/client/android/CaptureActivity.java","3","147","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.zxing.client.android.history","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/android/src/com/google/zxing/client/android/history/HistoryManager.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.zxing.client.android.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/android/src/com/google/zxing/client/android/result/ResultHandler.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.google.zxing.client.android.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/android/src/com/google/zxing/client/android/result/ResultHandler.java","3","184","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","com.google.zxing.client.android.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/android/src/com/google/zxing/client/android/result/ResultHandler.java","3","184","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.zxing.client.android.wifi","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/android/src/com/google/zxing/client/android/wifi/WifiConfigManager.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.zxing","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/Result.java","3","27","The class 'Result' is suspected to be a Data Class (WOC=30.769%, NOPA=0, NOAM=6, WMC=20)","Design","DataClass"
"1","com.google.zxing.aztec.encoder","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/aztec/encoder/AztecCode.java","3","26","The class 'AztecCode' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"1","com.google.zxing.aztec.encoder","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/aztec/encoder/Encoder.java","3","63","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/AddressBookParsedResult.java","3","25","The class 'AddressBookParsedResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=16, WMC=30)","Design","DataClass"
"2","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/AddressBookParsedResult.java","3","69","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/CalendarParsedResult.java","3","36","The class 'CalendarParsedResult' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=9, WMC=33)","Design","DataClass"
"2","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/CalendarParsedResult.java","3","62","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/EmailAddressParsedResult.java","3","25","The class 'EmailAddressParsedResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=7)","Design","DataClass"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/ExpandedProductParsedResult.java","3","38","The class 'ExpandedProductParsedResult' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=15, WMC=20)","Design","DataClass"
"2","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/ExpandedProductParsedResult.java","3","60","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/ExpandedProductResultParser.java","3","44","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/GeoParsedResult.java","3","25","The class 'GeoParsedResult' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=4, WMC=8)","Design","DataClass"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/ResultParser.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/SMSParsedResult.java","3","25","The class 'SMSParsedResult' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=4, WMC=16)","Design","DataClass"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/VCardResultParser.java","3","103","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/VINParsedResult.java","3","23","The class 'VINParsedResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=9, WMC=10)","Design","DataClass"
"1","com.google.zxing.client.result","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/client/result/WifiParsedResult.java","3","24","The class 'WifiParsedResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=11)","Design","DataClass"
"1","com.google.zxing.common","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/common/BitArray.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.zxing.common","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/common/BitMatrix.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.zxing.common","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/common/DecoderResult.java","3","28","The class 'DecoderResult' is suspected to be a Data Class (WOC=5.882%, NOPA=0, NOAM=14, WMC=18)","Design","DataClass"
"1","com.google.zxing.common","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/common/DefaultGridSampler.java","3","27","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.google.zxing.common","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/common/GridSampler.java","3","87","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.google.zxing.common","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/common/PerspectiveTransform.java","3","52","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.google.zxing.common","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/common/StringUtils.java","3","51","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.zxing.common.detector","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/common/detector/WhiteRectangleDetector.java","3","85","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.zxing.common.reedsolomon","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/common/reedsolomon/GenericGF.java","3","30","The class 'GenericGF' is suspected to be a Data Class (WOC=0.000%, NOPA=8, NOAM=2, WMC=23)","Design","DataClass"
"1","com.google.zxing.datamatrix.decoder","/home/matheus/smell-and-machine-learning/repositories/zxing_zxing/core/src/main/java/com/google/zxing/datamatrix/decoder/Version.java","3","27","The class 'Version' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=6, WMC=18)","Design","DataClass"
