"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.aocate.media","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/PrestoClient/src/com/aocate/media/MediaPlayer.java","3","35","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.aocate.media","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/PrestoClient/src/com/aocate/media/MediaPlayer.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.aocate.media","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/PrestoClient/src/com/aocate/media/MediaPlayer.java","3","328","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.aocate.media","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/PrestoClient/src/com/aocate/media/MediaPlayer.java","3","445","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.aocate.media","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/PrestoClient/src/com/aocate/media/MediaPlayerImpl.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.aocate.media","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/PrestoClient/src/com/aocate/media/ServiceBackedMediaPlayer.java","3","52","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.aocate.media","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/PrestoClient/src/com/aocate/media/ServiceBackedMediaPlayer.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.jadn.cc.test","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/androidTest/java/com/jadn/cc/test/PodcastTest.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.jadn.cc.core","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/core/Subscription.java","3","6","The class 'Subscription' is suspected to be a Data Class (WOC=0.000%, NOPA=8, NOAM=0, WMC=3)","Design","DataClass"
"1","com.jadn.cc.services","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/services/ContentService.java","3","50","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.jadn.cc.services","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/services/ContentService.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.jadn.cc.services","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/services/ContentService.java","3","559","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jadn.cc.services","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/services/DownloadHelper.java","3","67","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jadn.cc.services","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/services/EnclosureHandler.java","3","21","The class 'EnclosureHandler' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=4, WMC=23)","Design","DataClass"
"1","com.jadn.cc.services","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/services/ExternalReceiver.java","3","8","The class 'ExternalReceiver' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.jadn.cc.services","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/services/FileSubscriptionHelper.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.jadn.cc.services","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/services/MetaHolder.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.jadn.cc.services","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/services/MetaHolder.java","3","54","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jadn.cc.ui","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/ui/CarCast.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.jadn.cc.ui","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cc/app/src/main/java/com/jadn/cc/ui/CarCast.java","3","104","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jadn.cc.test","/home/matheus/smell-and-machine-learning/repositories/bherrmann7_Car-Cast/cctest/src/com/jadn/cc/test/PodcastTest.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
