"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.tamanegi.gles","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/gles/GLCanvas.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tamanegi.gles","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/gles/GLColor.java","3","5","The class 'GLColor' is suspected to be a Data Class (WOC=20.000%, NOPA=4, NOAM=0, WMC=5)","Design","DataClass"
"1","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","54","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","463","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","777","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","1043","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","1177","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","1324","Avoid really long methods.","Design","ExcessiveMethodLength"
"8","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","1426","Avoid really long methods.","Design","ExcessiveMethodLength"
"9","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","1871","Avoid really long methods.","Design","ExcessiveMethodLength"
"10","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","2109","Avoid really long methods.","Design","ExcessiveMethodLength"
"11","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","2263","Avoid really long methods.","Design","ExcessiveMethodLength"
"12","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","2444","Avoid really long methods.","Design","ExcessiveMethodLength"
"13","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureRenderer.java","3","2559","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureSetting.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureSetting.java","3","151","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.tamanegi.wallpaper.multipicture","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/MultiPictureSetting.java","3","331","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.tamanegi.wallpaper.multipicture.picsource","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/picsource/AbstractFileListPickService.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tamanegi.wallpaper.multipicture.picsource","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/picsource/AlbumPickService.java","3","69","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.tamanegi.wallpaper.multipicture.picsource","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/picsource/FolderPickService.java","3","73","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.tamanegi.wallpaper.multipicture.plugin","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/plugin/LazyPickerClient.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tamanegi.wallpaper.multipicture.plugin","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/plugin/PictureContentInfo.java","3","11","The class 'PictureContentInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=11)","Design","DataClass"
"1","org.tamanegi.wallpaper.multipicture.plugin","/home/matheus/smell-and-machine-learning/repositories/MultiPictureLiveWallpaper/src/org/tamanegi/wallpaper/multipicture/plugin/ScreenInfo.java","3","8","The class 'ScreenInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=16, WMC=19)","Design","DataClass"
