"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.dozingcatsoftware.asciicam","/home/matheus/smell-and-machine-learning/repositories/dozingcat_AsciiCam/app/src/main/java/com/dozingcatsoftware/asciicam/AsciiCamActivity.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.dozingcatsoftware.asciicam","/home/matheus/smell-and-machine-learning/repositories/dozingcat_AsciiCam/app/src/main/java/com/dozingcatsoftware/asciicam/AsciiCamActivity.java","3","50","The class 'CameraPreviewData' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=1)","Design","DataClass"
"1","com.dozingcatsoftware.asciicam","/home/matheus/smell-and-machine-learning/repositories/dozingcat_AsciiCam/app/src/main/java/com/dozingcatsoftware/asciicam/AsciiConverter.java","3","136","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.dozingcatsoftware.asciicam","/home/matheus/smell-and-machine-learning/repositories/dozingcat_AsciiCam/app/src/main/java/com/dozingcatsoftware/asciicam/AsciiConverter.java","3","268","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","com.dozingcatsoftware.asciicam","/home/matheus/smell-and-machine-learning/repositories/dozingcat_AsciiCam/app/src/main/java/com/dozingcatsoftware/asciicam/AsciiConverter.java","3","268","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.dozingcatsoftware.asciicam","/home/matheus/smell-and-machine-learning/repositories/dozingcat_AsciiCam/app/src/main/java/com/dozingcatsoftware/asciicam/AsciiRenderer.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.dozingcatsoftware.asciicam","/home/matheus/smell-and-machine-learning/repositories/dozingcat_AsciiCam/app/src/main/java/com/dozingcatsoftware/asciicam/AsciiRenderer.java","3","297","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","com.dozingcatsoftware.asciicam","/home/matheus/smell-and-machine-learning/repositories/dozingcat_AsciiCam/app/src/main/java/com/dozingcatsoftware/asciicam/AsciiRenderer.java","3","320","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.dozingcatsoftware.asciicam","/home/matheus/smell-and-machine-learning/repositories/dozingcat_AsciiCam/app/src/main/java/com/dozingcatsoftware/asciicam/OverlayView.java","3","14","The class 'OverlayView' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","com.dozingcatsoftware.util","/home/matheus/smell-and-machine-learning/repositories/dozingcat_AsciiCam/app/src/main/java/com/dozingcatsoftware/util/CameraUtils.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
