"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CAlphIO.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CAlphIO.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CAlphIO.java","3","306","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CAlphabetManager.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CAlphabetManager.java","3","199","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CAlphabetManager.java","3","390","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CAlphabetMap.java","3","225","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CColourIO.java","3","227","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CDasherInterfaceBase.java","3","72","Avoid really long classes.","Design","ExcessiveClassLength"
"2","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CDasherInterfaceBase.java","3","72","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CDasherModel.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CDasherNode.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CDasherView.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CDasherView.java","3","86","The class 'DRect' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CDasherViewSquare.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CDasherViewSquare.java","3","271","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CPPMLanguageModel.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","dasher","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/CSettingsStore.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","dasher.android","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/android/ADasherInterface.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","dasher.android","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/android/ADasherInterface.java","3","228","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","dasher.android","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/android/DasherCanvas.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","dasher.android","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/android/DasherInputMethod.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","dasher.android","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/android/SeekBarPreference.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","dasher.applet","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/applet/JDasherApplet.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","dasher.applet","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/applet/JDasherApplet.java","3","176","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","dasher.applet","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/applet/JDasherMenuBar.java","3","116","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","dasher.applet","/home/matheus/smell-and-machine-learning/repositories/acl33_AndroidDasher/src/dasher/applet/JDasherPanel.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
