"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.larswerkman.colorpicker","/home/matheus/smell-and-machine-learning/repositories/MirakelX_mirakel-android/colorpicker/src/com/larswerkman/colorpicker/ColorPicker.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.calendar.recurrencepicker","/home/matheus/smell-and-machine-learning/repositories/MirakelX_mirakel-android/date-time-picker/src/com/android/calendar/recurrencepicker/RecurrencePickerDialog.java","3","160","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.fourmob.datetimepicker.date","/home/matheus/smell-and-machine-learning/repositories/MirakelX_mirakel-android/date-time-picker/src/com/fourmob/datetimepicker/date/DatePicker.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.fourmob.datetimepicker.date","/home/matheus/smell-and-machine-learning/repositories/MirakelX_mirakel-android/date-time-picker/src/com/fourmob/datetimepicker/date/SimpleMonthView.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.sleepbot.datetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/MirakelX_mirakel-android/date-time-picker/src/com/sleepbot/datetimepicker/time/RadialPickerLayout.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.sleepbot.datetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/MirakelX_mirakel-android/date-time-picker/src/com/sleepbot/datetimepicker/time/RadialPickerLayout.java","3","606","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.sleepbot.datetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/MirakelX_mirakel-android/date-time-picker/src/com/sleepbot/datetimepicker/time/TimePicker.java","3","57","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.sleepbot.datetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/MirakelX_mirakel-android/date-time-picker/src/com/sleepbot/datetimepicker/time/TimePicker.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.sleepbot.datetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/MirakelX_mirakel-android/date-time-picker/src/com/sleepbot/datetimepicker/time/TimePicker.java","3","331","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.sleepbot.datetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/MirakelX_mirakel-android/date-time-picker/src/com/sleepbot/datetimepicker/time/TimePicker.java","3","550","Avoid really long methods.","Design","ExcessiveMethodLength"
