"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.spazedog.lib.rootfw4","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/com/spazedog/lib/rootfw4/RootFW.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.spazedog.lib.rootfw4","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/com/spazedog/lib/rootfw4/Shell.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.spazedog.lib.rootfw4.containers","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/com/spazedog/lib/rootfw4/containers/Data.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.spazedog.lib.rootfw4.utils","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/com/spazedog/lib/rootfw4/utils/File.java","3","55","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.spazedog.lib.rootfw4.utils","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/com/spazedog/lib/rootfw4/utils/File.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.spazedog.lib.rootfw4.utils","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/com/spazedog/lib/rootfw4/utils/Memory.java","3","84","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","sharedcode.turboeditor.activity","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/sharedcode/turboeditor/activity/MainActivity.java","3","130","Avoid really long classes.","Design","ExcessiveClassLength"
"2","sharedcode.turboeditor.activity","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/sharedcode/turboeditor/activity/MainActivity.java","3","133","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","sharedcode.turboeditor.activity","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/sharedcode/turboeditor/activity/MainActivity.java","3","915","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","sharedcode.turboeditor.activity","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/sharedcode/turboeditor/activity/MainActivity.java","3","1496","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","sharedcode.turboeditor.preferences","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/sharedcode/turboeditor/preferences/SettingsFragment.java","3","83","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","sharedcode.turboeditor.util","/home/matheus/smell-and-machine-learning/repositories/vmihalachi_turbo-editor/libraries/sharedCode/src/main/java/sharedcode/turboeditor/util/GreatUri.java","3","32","The class 'GreatUri' is suspected to be a Data Class (WOC=30.000%, NOPA=0, NOAM=6, WMC=10)","Design","DataClass"
