"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.niparasc.papanikolis.bluetooth","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis-android/src/com/niparasc/papanikolis/bluetooth/BluetoothManager.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.niparasc.papanikolis","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/Papanikolis.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.niparasc.papanikolis.actors","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/actors/Box2DActor.java","3","11","The class 'Box2DActor' is suspected to be a Data Class (WOC=30.769%, NOPA=1, NOAM=8, WMC=13)","Design","DataClass"
"1","com.niparasc.papanikolis.directors","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/directors/ClientDirector.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.niparasc.papanikolis.directors","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/directors/Director.java","3","9","The class 'Director' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","com.niparasc.papanikolis.directors","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/directors/Game1Director.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.niparasc.papanikolis.directors","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/directors/Game1Director.java","3","135","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.niparasc.papanikolis.directors","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/directors/HostDirector.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.niparasc.papanikolis.directors","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/directors/MultiplayerDirector.java","3","54","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.niparasc.papanikolis.multiplayer","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/multiplayer/TransmissionPackage.java","3","6","The class 'TransmissionPackage' is suspected to be a Data Class (WOC=23.529%, NOPA=1, NOAM=12, WMC=23)","Design","DataClass"
"1","com.niparasc.papanikolis.screens","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/screens/Game1.java","3","20","The class 'Game1' is suspected to be a Data Class (WOC=23.077%, NOPA=1, NOAM=9, WMC=20)","Design","DataClass"
"1","com.niparasc.papanikolis.screens","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/screens/HostScreen.java","3","12","The class 'HostScreen' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=4, WMC=6)","Design","DataClass"
"1","com.niparasc.papanikolis.screens","/home/matheus/smell-and-machine-learning/repositories/papanikolis-submarine/papanikolis/src/com/niparasc/papanikolis/screens/JoinScreen.java","3","16","The class 'JoinScreen' is suspected to be a Data Class (WOC=18.182%, NOPA=1, NOAM=8, WMC=11)","Design","DataClass"
