"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","at.tomtasche.reader.background","/home/matheus/smell-and-machine-learning/repositories/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/background/Document.java","3","10","The class 'Document' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=4, WMC=8)","Design","DataClass"
"1","at.tomtasche.reader.background","/home/matheus/smell-and-machine-learning/repositories/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/background/DocumentLoader.java","3","35","The class 'DocumentLoader' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=4, WMC=5)","Design","DataClass"
"2","at.tomtasche.reader.background","/home/matheus/smell-and-machine-learning/repositories/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/background/DocumentLoader.java","3","128","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","at.tomtasche.reader.ui","/home/matheus/smell-and-machine-learning/repositories/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/EditActionModeCallback.java","3","70","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","at.tomtasche.reader.ui","/home/matheus/smell-and-machine-learning/repositories/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/FindActionModeCallback.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","at.tomtasche.reader.ui","/home/matheus/smell-and-machine-learning/repositories/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/TtsActionModeCallback.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","at.tomtasche.reader.ui.activity","/home/matheus/smell-and-machine-learning/repositories/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/DocumentActivity.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","at.tomtasche.reader.ui.activity","/home/matheus/smell-and-machine-learning/repositories/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","at.tomtasche.reader.ui.activity","/home/matheus/smell-and-machine-learning/repositories/TomTasche_OpenDocument.droid/app/src/main/java/at/tomtasche/reader/ui/activity/MainActivity.java","3","307","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.jberkel.pay.me","/home/matheus/smell-and-machine-learning/repositories/TomTasche_OpenDocument.droid/payme/src/main/java/com/github/jberkel/pay/me/IabHelper.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
