"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","info.guardianproject.otr.app.im.plugin.xmpp","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/robo-tests/src/info/guardianproject/otr/app/im/plugin/xmpp/XmppStreamHandlerTest.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.zxing.integration.android","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/com/google/zxing/integration/android/IntentIntegrator.java","3","111","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.zxing.integration.android","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/com/google/zxing/integration/android/IntentResult.java","3","24","The class 'IntentResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=7)","Design","DataClass"
"1","info.guardianproject.otr","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/OtrAndroidKeyManagerImpl.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/OtrChatManager.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/OtrDataHandler.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","info.guardianproject.otr","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/OtrDataHandler.java","3","167","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","info.guardianproject.otr","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/OtrDataHandler.java","3","582","The class 'Request' is suspected to be a Data Class (WOC=25.000%, NOPA=9, NOAM=1, WMC=4)","Design","DataClass"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/AccountActivity.java","3","78","Avoid really long classes.","Design","ExcessiveClassLength"
"2","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/AccountActivity.java","3","78","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/AccountActivity.java","3","136","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/AccountActivity.java","3","369","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/AccountActivity.java","3","407","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/AccountWizardActivity.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ChatFileStore.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ChatSwitcher.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ChatView.java","3","147","Avoid really long classes.","Design","ExcessiveClassLength"
"2","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ChatView.java","3","147","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ChatView.java","3","691","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ChatView.java","3","1832","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ChatView.java","3","2090","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"6","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ChatView.java","3","2508","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ContactListFilterView.java","3","84","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ContactPresenceActivity.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ContactPresenceActivity.java","3","193","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ContactView.java","3","110","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/DatabaseUtils.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ImApp.java","3","91","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ImUrlActivity.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ImUrlActivity.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/LockScreenActivity.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/MessageView.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/MessageView.java","3","222","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/MessageView.java","3","598","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/NewChatActivity.java","3","123","Avoid really long classes.","Design","ExcessiveClassLength"
"2","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/NewChatActivity.java","3","123","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/NewChatActivity.java","3","181","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/NewChatActivity.java","3","595","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/NewChatActivity.java","3","835","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/NewChatActivity.java","3","864","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ProviderDef.java","3","20","The class 'ProviderDef' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/ProviderListItem.java","3","86","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","info.guardianproject.otr.app.im.app","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/WelcomeActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr.app.im.app.adapter","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/app/adapter/ChatListenerAdapter.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr.app.im.engine","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/engine/ChatGroupManager.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr.app.im.engine","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/engine/ContactListManager.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.otr.app.im.engine","/home/matheus/smell-and-machine-learning/repositories/Gibberbot/src/info/guardianproject/otr/app/im/engine/ImConnection.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
