"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.tint.addons","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/addons/Addon.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tint.addons","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/addons/AddonManager.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tint.addons","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/addons/AddonServiceConnection.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tint.providers","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/providers/BookmarksWrapper.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tint.tasks","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/tasks/HistoryBookmarksImportTask.java","3","98","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.tint.tasks","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/tasks/HistoryBookmarksImportTask.java","3","289","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.tint.ui.activities","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/activities/BookmarksActivity.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tint.ui.activities","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/activities/TintBrowserActivity.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.tint.ui.activities","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/activities/TintBrowserActivity.java","3","99","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.tint.ui.components","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/components/CustomWebChromeClient.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tint.ui.components","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/components/CustomWebView.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tint.ui.fragments","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/fragments/BookmarksFragment.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tint.ui.fragments","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/fragments/HistoryFragment.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tint.ui.managers","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/managers/BasePhoneUIManager.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.tint.ui.managers","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/managers/BaseUIManager.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.tint.ui.managers","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/managers/BaseUIManager.java","3","289","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.tint.ui.managers","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/managers/LegacyPhoneUIManager.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.tint.ui.managers","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/managers/LegacyPhoneUIManager.java","3","102","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.tint.ui.managers","/home/matheus/smell-and-machine-learning/repositories/TintBrowser/src/org/tint/ui/managers/PhoneUIManager.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
