"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.ebookdroid.common.settings.books","/home/matheus/smell-and-machine-learning/repositories/document-viewer/document-viewer/src/androidTest/java/org/ebookdroid/common/settings/books/DBSettingsManagerTest.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.afzkl.colorpicker.views","/home/matheus/smell-and-machine-learning/repositories/document-viewer/document-viewer/src/main/java/org/afzkl/colorpicker/views/ColorPickerView.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ebookdroid.common.bitmaps","/home/matheus/smell-and-machine-learning/repositories/document-viewer/document-viewer/src/main/java/org/ebookdroid/common/bitmaps/ByteBufferBitmap.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ebookdroid.common.cache","/home/matheus/smell-and-machine-learning/repositories/document-viewer/document-viewer/src/main/java/org/ebookdroid/common/cache/DocumentCacheFile.java","3","257","The class 'PageInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","org.ebookdroid.common.settings","/home/matheus/smell-and-machine-learning/repositories/document-viewer/document-viewer/src/main/java/org/ebookdroid/common/settings/AppSettings.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ebookdroid.common.settings","/home/matheus/smell-and-machine-learning/repositories/document-viewer/document-viewer/src/main/java/org/ebookdroid/common/settings/SettingsManager.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ebookdroid.common.settings.books","/home/matheus/smell-and-machine-learning/repositories/document-viewer/document-viewer/src/main/java/org/ebookdroid/common/settings/books/DBAdapterV1.java","3","16","The class 'DBAdapterV1' is suspected to be a Data Class (WOC=0.000%, NOPA=9, NOAM=0, WMC=21)","Design","DataClass"
"2","org.ebookdroid.common.settings.books","/home/matheus/smell-and-machine-learning/repositories/document-viewer/document-viewer/src/main/java/org/ebookdroid/common/settings/books/DBAdapterV1.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.ebookdroid.common.settings.books","/home/matheus/smell-and-machine-learning/repositories/document-viewer/document-viewer/src/main/java/org/ebookdroid/common/settings/books/DBAdapterV2.java","3","12","The class 'DBAdapterV2' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=5)","Design","DataClass"
"1","org.ebookdroid.common.settings.books","/home/matheus/smell-and-machine-learning/repositories/document-viewer/document-viewer/src/main/java/org/ebookdroid/common/settings/books/DBAdapterV3.java","3","13","The class 'DBAdapterV3' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
