"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/AllInOneActivity.java","3","87","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/AllInOneActivity.java","3","89","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/AllInOneActivity.java","3","306","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/AllInOneActivity.java","3","848","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/AllInOneActivity.java","3","1083","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/AsyncQueryService.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/AsyncQueryServiceHelper.java","3","245","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/CalendarController.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/CalendarController.java","3","361","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/CalendarController.java","3","413","Avoid long parameter lists.","Design","ExcessiveParameterList"
"4","com.android.calendar","/home/matheus/smell-and-machine-learning/repositories/standalone-calendar/src/com/android/calendar/CalendarController.java","3","428","Avoid really long methods.","Design","ExcessiveMethodLength"
