"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.onyxbits.textfiction","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/GameActivity.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.onyxbits.textfiction","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/GameActivity.java","3","403","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.onyxbits.textfiction","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/RetainerFragment.java","3","24","The class 'RetainerFragment' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","de.onyxbits.textfiction","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/StoryItem.java","3","12","The class 'StoryItem' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","de.onyxbits.textfiction.input","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/input/WordExtractor.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/StyleRegion.java","3","9","The class 'StyleRegion' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZHeader.java","3","9","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZInstruction.java","3","8","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZInstruction.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZInstruction.java","3","258","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZInstruction5.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZInstruction5.java","3","75","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZMachine.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZObjectTree.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZScreen.java","3","9","The class 'ZScreen' is suspected to be a Data Class (WOC=12.500%, NOPA=2, NOAM=6, WMC=27)","Design","DataClass"
"1","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZState.java","3","57","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZState.java","3","313","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.onyxbits.textfiction.zengine","/home/matheus/smell-and-machine-learning/repositories/TextFiction/src/de/onyxbits/textfiction/zengine/ZWindow.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
