"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.somethingdreadful.MAL","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/BrowseFragmentAL.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.somethingdreadful.MAL","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/BrowseFragmentMAL.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.somethingdreadful.MAL","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/ContentManager.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.somethingdreadful.MAL","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/DetailView.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.somethingdreadful.MAL","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/Home.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.somethingdreadful.MAL","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/IGF.java","3","61","Avoid really long classes.","Design","ExcessiveClassLength"
"2","net.somethingdreadful.MAL","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/IGF.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","net.somethingdreadful.MAL","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/IGF.java","3","883","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.somethingdreadful.MAL","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/ProfileActivity.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.somethingdreadful.MAL.api","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/api/ALInterface.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.somethingdreadful.MAL.api.BaseModels.AnimeManga","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/api/BaseModels/AnimeManga/Schedule.java","3","17","The class 'Schedule' is suspected to be a Data Class (WOC=22.222%, NOPA=0, NOAM=7, WMC=14)","Design","DataClass"
"1","net.somethingdreadful.MAL.api","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/api/MALApi.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.somethingdreadful.MAL.api","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/api/MALInterface.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.somethingdreadful.MAL.database","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/database/DatabaseHelper.java","3","180","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.somethingdreadful.MAL.database","/home/matheus/smell-and-machine-learning/repositories/AnimaSA_Atarashii/Atarashii/src/main/java/net/somethingdreadful/MAL/database/DatabaseManager.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
