"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.mumod.android","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/Account.java","3","3","The class 'Account' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","org.mumod.android","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/MessagingListener.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.mumod.android","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/MustardDbAdapter.java","3","42","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.mumod.android","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/MustardDbAdapter.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.mumod.android","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/MustardDbAdapter.java","3","250","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.mumod.android","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/MustardDbAdapter.java","3","610","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.mumod.android.activity","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/activity/MustardBaseActivity.java","3","103","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.mumod.android.activity","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/activity/MustardBaseActivity.java","3","104","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.mumod.android.activity","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/activity/MustardBaseActivity.java","3","564","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.mumod.android.activity","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/activity/MustardMain.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.mumod.android.activity","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/activity/MustardUpdate.java","3","91","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.mumod.android.activity","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/activity/MustardUpdate.java","3","133","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.mumod.android.activity","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/activity/MustardUpdate.java","3","729","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.mumod.android.activity","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/activity/OAuthLogin.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.mumod.android.provider","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/provider/StatusNet.java","3","63","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.mumod.android.provider","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/provider/StatusNet.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.mumod.android.view","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/android/view/ActionItem.java","3","12","The class 'ActionItem' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=5, WMC=8)","Design","DataClass"
"1","org.mumod.geonames","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/geonames/GeoName.java","3","26","The class 'GeoName' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=40, WMC=40)","Design","DataClass"
"1","org.mumod.rsd","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/rsd/Api.java","3","5","The class 'Api' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"1","org.mumod.rsd","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/rsd/Service.java","3","5","The class 'Service' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","org.mumod.rsd","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/rsd/Setting.java","3","3","The class 'Setting' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","org.mumod.statusnet","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/statusnet/Attachment.java","3","24","The class 'Attachment' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","org.mumod.statusnet","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/statusnet/DirectMessage.java","3","5","The class 'DirectMessage' is suspected to be a Data Class (WOC=16.667%, NOPA=2, NOAM=20, WMC=27)","Design","DataClass"
"1","org.mumod.statusnet","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/statusnet/Group.java","3","26","The class 'Group' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=26, WMC=26)","Design","DataClass"
"1","org.mumod.statusnet","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/statusnet/Notice.java","3","27","The class 'Notice' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=32, WMC=32)","Design","DataClass"
"1","org.mumod.statusnet","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/statusnet/Relationship.java","3","24","The class 'Relationship' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"2","org.mumod.statusnet","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/statusnet/Relationship.java","3","50","The class 'User' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","org.mumod.statusnet","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/statusnet/RowStatus.java","3","3","The class 'RowStatus' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=36, WMC=36)","Design","DataClass"
"1","org.mumod.statusnet","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/statusnet/Status.java","3","24","The class 'Status' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","org.mumod.statusnet","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/statusnet/User.java","3","26","The class 'User' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=38, WMC=38)","Design","DataClass"
"1","org.mumod.util","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/util/StatusNetUtils.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.mumod.util","/home/matheus/smell-and-machine-learning/repositories/kromonos_Mustard-Mod/src/org/mumod/util/StringUtil.java","3","50","Avoid really long methods.","Design","ExcessiveMethodLength"
