"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.martinborjesson.o2xtouchlednotifications.services","/home/matheus/smell-and-machine-learning/repositories/LG-Optimus-2X-Black-Notifications/src/com/martinborjesson/o2xtouchlednotifications/services/MainService.java","3","40","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.martinborjesson.o2xtouchlednotifications.services","/home/matheus/smell-and-machine-learning/repositories/LG-Optimus-2X-Black-Notifications/src/com/martinborjesson/o2xtouchlednotifications/services/MainService.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.martinborjesson.o2xtouchlednotifications.services","/home/matheus/smell-and-machine-learning/repositories/LG-Optimus-2X-Black-Notifications/src/com/martinborjesson/o2xtouchlednotifications/services/MainService.java","3","222","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.martinborjesson.o2xtouchlednotifications.services","/home/matheus/smell-and-machine-learning/repositories/LG-Optimus-2X-Black-Notifications/src/com/martinborjesson/o2xtouchlednotifications/services/MainService.java","3","348","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.martinborjesson.o2xtouchlednotifications.services","/home/matheus/smell-and-machine-learning/repositories/LG-Optimus-2X-Black-Notifications/src/com/martinborjesson/o2xtouchlednotifications/services/MainService.java","3","564","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.martinborjesson.o2xtouchlednotifications.ui","/home/matheus/smell-and-machine-learning/repositories/LG-Optimus-2X-Black-Notifications/src/com/martinborjesson/o2xtouchlednotifications/ui/MainPreferences.java","3","64","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.martinborjesson.o2xtouchlednotifications.ui","/home/matheus/smell-and-machine-learning/repositories/LG-Optimus-2X-Black-Notifications/src/com/martinborjesson/o2xtouchlednotifications/ui/MainPreferences.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.martinborjesson.o2xtouchlednotifications.ui","/home/matheus/smell-and-machine-learning/repositories/LG-Optimus-2X-Black-Notifications/src/com/martinborjesson/o2xtouchlednotifications/ui/MainPreferences.java","3","316","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.martinborjesson.o2xtouchlednotifications.ui","/home/matheus/smell-and-machine-learning/repositories/LG-Optimus-2X-Black-Notifications/src/com/martinborjesson/o2xtouchlednotifications/ui/MainPreferences.java","3","940","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.martinborjesson.o2xtouchlednotifications.ui","/home/matheus/smell-and-machine-learning/repositories/LG-Optimus-2X-Black-Notifications/src/com/martinborjesson/o2xtouchlednotifications/ui/MainPreferences.java","3","1310","Avoid really long methods.","Design","ExcessiveMethodLength"
