"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.mobiperf","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/DeviceProperty.java","3","24","The class 'DeviceProperty' is suspected to be a Data Class (WOC=0.000%, NOPA=14, NOAM=0, WMC=1)","Design","DataClass"
"2","com.mobiperf","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/DeviceProperty.java","3","41","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.mobiperf","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/MeasurementCreationActivity.java","3","219","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mobiperf","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/MeasurementScheduler.java","3","80","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.mobiperf","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/MeasurementScheduler.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mobiperf","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/SpeedometerApp.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mobiperf","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/SpeedometerPreferenceActivity.java","3","35","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/HttpTask.java","3","54","The class 'HttpTask' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=1)","Design","DataClass"
"2","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/HttpTask.java","3","143","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/PingTask.java","3","83","The class 'PingDesc' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=4)","Design","DataClass"
"1","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/RRCTask.java","3","77","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/RRCTask.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/RRCTask.java","3","234","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/RRCTask.java","3","931","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/TCPThroughputTask.java","3","42","The class 'TCPThroughputTask' is suspected to be a Data Class (WOC=0.000%, NOPA=13, NOAM=0, WMC=41)","Design","DataClass"
"2","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/TCPThroughputTask.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/TracerouteTask.java","3","46","The class 'TracerouteTask' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=29)","Design","DataClass"
"2","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/TracerouteTask.java","3","168","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mobiperf.measurements","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/measurements/UDPBurstTask.java","3","103","The class 'UDPBurstDesc' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=4)","Design","DataClass"
"1","com.mobiperf.util","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/android/src/com/mobiperf/util/PhoneUtils.java","3","72","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.udpmeasurement","/home/matheus/smell-and-machine-learning/repositories/MobiPerf/measurement_server/src/com/udpmeasurement/UDPReceiver.java","3","101","Avoid really long methods.","Design","ExcessiveMethodLength"
