"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.spazedog.mounts2sd","/home/matheus/smell-and-machine-learning/repositories/SpazeDog_mounts2sd/src/com/spazedog/mounts2sd/ActivityAppSettings.java","3","231","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.spazedog.mounts2sd","/home/matheus/smell-and-machine-learning/repositories/SpazeDog_mounts2sd/src/com/spazedog/mounts2sd/ActivityAppSettings.java","3","236","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.spazedog.mounts2sd","/home/matheus/smell-and-machine-learning/repositories/SpazeDog_mounts2sd/src/com/spazedog/mounts2sd/ActivityTabController.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.spazedog.mounts2sd","/home/matheus/smell-and-machine-learning/repositories/SpazeDog_mounts2sd/src/com/spazedog/mounts2sd/FragmentTabConfigure.java","3","89","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.spazedog.mounts2sd","/home/matheus/smell-and-machine-learning/repositories/SpazeDog_mounts2sd/src/com/spazedog/mounts2sd/FragmentTabLog.java","3","189","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.spazedog.mounts2sd.tools","/home/matheus/smell-and-machine-learning/repositories/SpazeDog_mounts2sd/src/com/spazedog/mounts2sd/tools/Preferences.java","3","217","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.spazedog.mounts2sd.tools","/home/matheus/smell-and-machine-learning/repositories/SpazeDog_mounts2sd/src/com/spazedog/mounts2sd/tools/Preferences.java","3","471","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.spazedog.mounts2sd.tools.containers","/home/matheus/smell-and-machine-learning/repositories/SpazeDog_mounts2sd/src/com/spazedog/mounts2sd/tools/containers/IDeviceConfig.java","3","9","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.spazedog.mounts2sd.tools.containers","/home/matheus/smell-and-machine-learning/repositories/SpazeDog_mounts2sd/src/com/spazedog/mounts2sd/tools/containers/IDeviceProperties.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.spazedog.mounts2sd.tools.containers","/home/matheus/smell-and-machine-learning/repositories/SpazeDog_mounts2sd/src/com/spazedog/mounts2sd/tools/containers/IDeviceSetup.java","3","9","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
