"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.vonglasow.michael.satstat","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/PasvLocListenerService.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.vonglasow.michael.satstat.data","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/data/CellTowerCdma.java","3","3","The class 'CellTowerCdma' is suspected to be a Data Class (WOC=12.500%, NOPA=1, NOAM=6, WMC=20)","Design","DataClass"
"1","com.vonglasow.michael.satstat.data","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/data/CellTowerGsm.java","3","3","The class 'CellTowerGsm' is suspected to be a Data Class (WOC=31.250%, NOPA=3, NOAM=10, WMC=43)","Design","DataClass"
"1","com.vonglasow.michael.satstat.data","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/data/CellTowerLte.java","3","3","The class 'CellTowerLte' is suspected to be a Data Class (WOC=26.667%, NOPA=2, NOAM=10, WMC=33)","Design","DataClass"
"1","com.vonglasow.michael.satstat.ui","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/ui/GpsSectionFragment.java","3","168","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.vonglasow.michael.satstat.ui","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/ui/MainActivity.java","3","104","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.vonglasow.michael.satstat.ui","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/ui/MainActivity.java","3","313","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.vonglasow.michael.satstat.ui","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/ui/MapSectionFragment.java","3","91","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.vonglasow.michael.satstat.ui","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/ui/MapSectionFragment.java","3","578","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.vonglasow.michael.satstat.ui","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/ui/RadioSectionFragment.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.vonglasow.michael.satstat.utils","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/utils/DownloadTreeViewAdapter.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.vonglasow.michael.satstat.utils","/home/matheus/smell-and-machine-learning/repositories/satstat/src/com/vonglasow/michael/satstat/utils/HttpDownloader.java","3","164","Avoid really long methods.","Design","ExcessiveMethodLength"
