"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.mendhak.gpslogger","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/GpsLoggingService.java","3","57","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.mendhak.gpslogger","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/GpsLoggingService.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.mendhak.gpslogger","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/GpsLoggingService.java","3","162","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.mendhak.gpslogger","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/GpsLoggingService.java","3","775","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mendhak.gpslogger","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/GpsMainActivity.java","3","84","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.mendhak.gpslogger","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/GpsMainActivity.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.mendhak.gpslogger","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/GpsMainActivity.java","3","397","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mendhak.gpslogger.common","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/common/PreferenceHelper.java","3","37","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.mendhak.gpslogger.common","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/common/PreferenceHelper.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mendhak.gpslogger.common","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/common/SerializableLocation.java","3","27","The class 'SerializableLocation' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=25, WMC=29)","Design","DataClass"
"1","com.mendhak.gpslogger.common.network","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/common/network/CertificateValidationWorkflow.java","3","62","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mendhak.gpslogger.loggers.customurl","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/loggers/customurl/CustomUrlLogger.java","3","80","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.mendhak.gpslogger.senders.email","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/senders/email/AutoEmailJob.java","3","67","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.mendhak.gpslogger.senders.email","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/senders/email/AutoEmailJob.java","3","93","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mendhak.gpslogger.senders.ftp","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/FtpJob.java","3","70","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.mendhak.gpslogger.senders.ftp","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/FtpJob.java","3","91","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","com.mendhak.gpslogger.senders.ftp","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/FtpJob.java","3","91","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mendhak.gpslogger.ui.components","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/ui/components/InteractiveScrollView.java","3","8","The class 'InteractiveScrollView' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=12)","Design","DataClass"
"1","com.mendhak.gpslogger.ui.fragments.display","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/display/GpsDetailedViewFragment.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.mendhak.gpslogger.ui.fragments.display","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/display/GpsDetailedViewFragment.java","3","137","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mendhak.gpslogger.ui.fragments.display","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/display/GpsSimpleViewFragment.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mendhak.gpslogger.ui.fragments.settings","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/GoogleDriveSettingsFragment.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mendhak.gpslogger.common","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpslogger/src/test/java/com/mendhak/gpslogger/common/StringsTest.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mendhak.gpslogger","/home/matheus/smell-and-machine-learning/repositories/gpslogger/gpsloggerwear/src/main/java/com/mendhak/gpslogger/MainWearActivity.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
