"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.nightwhistler.nucular.atom","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/nucular/atom/AtomElement.java","3","31","The class 'AtomElement' is suspected to be a Data Class (WOC=18.182%, NOPA=0, NOAM=9, WMC=11)","Design","DataClass"
"1","net.nightwhistler.nucular.atom","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/nucular/atom/Author.java","3","23","The class 'Author' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","net.nightwhistler.nucular.atom","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/nucular/atom/Content.java","3","23","The class 'Content' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","net.nightwhistler.nucular.atom","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/nucular/atom/Link.java","3","24","The class 'Link' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=9)","Design","DataClass"
"1","net.nightwhistler.pageturner","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/pageturner/CustomOPDSSite.java","3","29","The class 'CustomOPDSSite' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=10, WMC=12)","Design","DataClass"
"1","net.nightwhistler.pageturner.activity","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/pageturner/activity/PageTurnerActivity.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.nightwhistler.pageturner.animation","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/pageturner/animation/PageCurlAnimator.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.nightwhistler.pageturner.bookmark","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/pageturner/bookmark/Bookmark.java","3","22","The class 'Bookmark' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"1","net.nightwhistler.pageturner.catalog","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/pageturner/catalog/DownloadFileTask.java","3","91","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.nightwhistler.pageturner.catalog","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/pageturner/catalog/LoadOPDSTask.java","3","83","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.nightwhistler.pageturner.dto","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/pageturner/dto/HighLight.java","3","17","The class 'HighLight' is suspected to be a Data Class (WOC=18.182%, NOPA=0, NOAM=8, WMC=18)","Design","DataClass"
"1","net.nightwhistler.pageturner.dto","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/pageturner/dto/SearchResult.java","3","10","The class 'SearchResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=6)","Design","DataClass"
"1","net.nightwhistler.pageturner.epub","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/pageturner/epub/PageTurnerSpine.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.nightwhistler.pageturner.epub","/home/matheus/smell-and-machine-learning/repositories/NightWhistler_PageTurner/src/net/nightwhistler/pageturner/epub/PageTurnerSpine.java","3","475","The class 'SpineEntry' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
