"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.github.jberkel.pay.me","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/libraries/pay-me/src/main/java/com/github/jberkel/pay/me/IabHelper.java","3","89","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.addhen.smssync.data.repository","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/internal/java/org/addhen/smssync/data/repository/InternalMessageDataRepository.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.addhen.smssync.presentation.di.component","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/internal/java/org/addhen/smssync/presentation/di/component/AppComponent.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.addhen.smssync.data","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/main/java/org/addhen/smssync/data/PrefsFactory.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.addhen.smssync.data.cache","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/main/java/org/addhen/smssync/data/cache/FileManager.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.addhen.smssync.data.database","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/main/java/org/addhen/smssync/data/database/MessageDatabaseHelper.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.addhen.smssync.data.entity","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/main/java/org/addhen/smssync/data/entity/Message.java","3","32","The class 'Message' is suspected to be a Data Class (WOC=7.692%, NOPA=0, NOAM=24, WMC=26)","Design","DataClass"
"1","org.addhen.smssync.data.entity","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/main/java/org/addhen/smssync/data/entity/MessageResult.java","3","28","The class 'MessageResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=14)","Design","DataClass"
"1","org.addhen.smssync.data.entity","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/main/java/org/addhen/smssync/data/entity/MessagesUUIDSResponse.java","3","28","The class 'MessagesUUIDSResponse' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=6, WMC=9)","Design","DataClass"
"1","org.addhen.smssync.data.entity","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/main/java/org/addhen/smssync/data/entity/SmssyncResponse.java","3","35","The class 'Payload' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=5)","Design","DataClass"
"1","org.addhen.smssync.data.entity","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/main/java/org/addhen/smssync/data/entity/SyncUrl.java","3","27","The class 'SyncUrl' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=14)","Design","DataClass"
"1","org.addhen.smssync.data.message","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/main/java/org/addhen/smssync/data/message/ProcessMessage.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.addhen.smssync.data.repository","/home/matheus/smell-and-machine-learning/repositories/ushahidi_SMSSync/smssync/src/main/java/org/addhen/smssync/data/repository/MessageDataRepository.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
