"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","fi.iki.elonen","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/fi/iki/elonen/NanoHTTPD.java","3","58","Avoid really long classes.","Design","ExcessiveClassLength"
"2","fi.iki.elonen","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/fi/iki/elonen/NanoHTTPD.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","fi.iki.elonen","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/fi/iki/elonen/NanoHTTPD.java","3","451","The class 'Response' is suspected to be a Data Class (WOC=8.333%, NOPA=0, NOAM=8, WMC=30)","Design","DataClass"
"1","org.droidupnp.controller.cling","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/org/droidupnp/controller/cling/RendererCommand.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.droidupnp.model.cling","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/org/droidupnp/model/cling/RendererState.java","3","30","The class 'RendererState' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=5, WMC=21)","Design","DataClass"
"1","org.droidupnp.model.mediaserver","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/org/droidupnp/model/mediaserver/ContentDirectoryService.java","3","49","The class 'ContentDirectoryService' is suspected to be a Data Class (WOC=25.000%, NOPA=16, NOAM=1, WMC=4)","Design","DataClass"
"2","org.droidupnp.model.mediaserver","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/org/droidupnp/model/mediaserver/ContentDirectoryService.java","3","104","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.droidupnp.model.upnp","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/org/droidupnp/model/upnp/IRendererCommand.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.droidupnp.view","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/org/droidupnp/view/ContentDirectoryFragment.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.droidupnp.view","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/org/droidupnp/view/RendererFragment.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.droidupnp.view","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/org/droidupnp/view/RendererFragment.java","3","376","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.droidupnp.view","/home/matheus/smell-and-machine-learning/repositories/trishika_DroidUPnP/src/main/java/org/droidupnp/view/UpnpDeviceListFragment.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
