"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.teamdc.stephendiniz.autoaway","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/Activity_ContactPicker.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.teamdc.stephendiniz.autoaway","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/Activity_Filtering.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.teamdc.stephendiniz.autoaway","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/Activity_Logger.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.teamdc.stephendiniz.autoaway","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/Activity_Logger.java","3","382","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.teamdc.stephendiniz.autoaway","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/Activity_Main.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.teamdc.stephendiniz.autoaway","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/Activity_Main.java","3","504","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.teamdc.stephendiniz.autoaway","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/Activity_Main.java","3","657","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.teamdc.stephendiniz.autoaway","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/Activity_Messages.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.teamdc.stephendiniz.autoaway","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/Service_Away.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.teamdc.stephendiniz.autoaway","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/Service_Away.java","3","95","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.teamdc.stephendiniz.autoaway.classes","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/classes/Contact.java","3","3","The class 'Contact' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=4, WMC=7)","Design","DataClass"
"1","com.teamdc.stephendiniz.autoaway.classes","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/classes/LogEntry.java","3","3","The class 'LogEntry' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=10, WMC=12)","Design","DataClass"
"1","com.teamdc.stephendiniz.autoaway.classes","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/classes/Message.java","3","3","The class 'Message' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=4, WMC=7)","Design","DataClass"
"1","com.teamdc.stephendiniz.autoaway.classes","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/classes/PhoneContact.java","3","3","The class 'PhoneContact' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=6, WMC=9)","Design","DataClass"
"1","com.teamdc.stephendiniz.autoaway.classes","/home/matheus/smell-and-machine-learning/repositories/Auto-Away/Auto-Away/src/com/teamdc/stephendiniz/autoaway/classes/Schedule.java","3","3","The class 'Schedule' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=13)","Design","DataClass"
