"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","cri.sanity","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/A.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/Alarmer.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/HistoryActivity.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/K.java","3","150","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cri.sanity","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/P.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/PhoneListener.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/PrefActivity.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/RecService.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/ScreenActivity.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/ShortcutActivity.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity.screen","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/screen/ContactsActivity.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity.screen","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/screen/DateTimeActivity.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity.screen","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/screen/GroupsActivity.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity.screen","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/screen/NumsActivity.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity.screen","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/screen/PrefixActivity.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity.screen","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/screen/ProfileActivity.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity.util","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/util/Alert.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity.util","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/util/CallFilter.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity.util","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/util/Dev.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cri.sanity.util","/home/matheus/smell-and-machine-learning/repositories/sanity/src/cri/sanity/util/Task.java","3","12","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
