"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","budo.budoist","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/Bootloader.java","3","58","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","budo.budoist.models","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/models/Item.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","budo.budoist.models","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/models/Item.java","3","422","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","budo.budoist.models","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/models/Item.java","3","578","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","budo.budoist.services","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/services/TodoistClient.java","3","65","Avoid really long classes.","Design","ExcessiveClassLength"
"2","budo.budoist.services","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/services/TodoistClient.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","budo.budoist.services","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/services/TodoistClient.java","3","1245","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","budo.budoist.services","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/services/TodoistOfflineStorage.java","3","47","Avoid really long classes.","Design","ExcessiveClassLength"
"2","budo.budoist.services","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/services/TodoistOfflineStorage.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","budo.budoist.services","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/services/TodoistOfflineStorage.java","3","1581","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","budo.budoist.services","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/services/TodoistServer.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/EditItemView.java","3","158","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/ItemListView.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/ItemListView.java","3","143","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/ItemListView.java","3","708","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/LabelListView.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/LoginView.java","3","158","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/LoginView.java","3","189","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/NoteListView.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/ProjectListView.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/QueryListView.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","budo.budoist.views","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/SettingsView.java","3","82","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","budo.budoist.views.adapters","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/src/budo/budoist/views/adapters/ItemTreeItemAdapter.java","3","122","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","pl.polidea.treeview","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/tree-view-list-android/src/pl/polidea/treeview/AbstractTreeViewAdapter.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pl.polidea.treeview","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/tree-view-list-android/src/pl/polidea/treeview/InMemoryTreeStateManager.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pl.polidea.treeview","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/tree-view-list-android/src/pl/polidea/treeview/TreeNodeInfo.java","3","9","The class 'TreeNodeInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=6)","Design","DataClass"
"1","pl.polidea.treeview","/home/matheus/smell-and-machine-learning/repositories/budowski_budoist/tree-view-list-android/src/pl/polidea/treeview/TreeViewList.java","3","27","The class 'TreeViewList' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=16, WMC=24)","Design","DataClass"
