"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","indrora.atomic.activity","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/activity/AddServerActivity.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","indrora.atomic.activity","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/activity/AddServerActivity.java","3","91","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","indrora.atomic.activity","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/activity/ConversationActivity.java","3","106","Avoid really long classes.","Design","ExcessiveClassLength"
"2","indrora.atomic.activity","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/activity/ConversationActivity.java","3","108","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","indrora.atomic.activity","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/activity/ConversationActivity.java","3","219","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","indrora.atomic.activity","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/activity/ConversationActivity.java","3","487","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","indrora.atomic.activity","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/activity/ConversationActivity.java","3","662","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","indrora.atomic.activity","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/activity/ConversationActivity.java","3","1192","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","indrora.atomic.activity","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/activity/ServersActivity.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","indrora.atomic.db","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/db/Database.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","indrora.atomic.indicator","/home/matheus/smell-and-machine-learning/repositories/Atomic/application/src/main/java/indrora/atomic/indicator/ConversationTitlePageIndicator.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
