"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.commons.codec.binary","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/commons/codec/binary/Base64.java","3","53","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.apache.commons.codec.binary","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/commons/codec/binary/Base64.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/TBaseHelper.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/TDeserializer.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/TUnion.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift.async","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/async/TAsyncMethodCall.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift.protocol","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/protocol/TBinaryProtocol.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift.protocol","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/protocol/TCompactProtocol.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift.protocol","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/protocol/TJSONProtocol.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift.protocol","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/protocol/TProtocol.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift.protocol","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/protocol/TProtocolException.java","3","28","The class 'TProtocolException' is suspected to be a Data Class (WOC=11.111%, NOPA=6, NOAM=0, WMC=9)","Design","DataClass"
"1","org.apache.thrift.protocol","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/protocol/TSimpleJSONProtocol.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift.transport","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/transport/TFileTransport.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.thrift.transport","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/apache/thrift/transport/TTransportException.java","3","28","The class 'TTransportException' is suspected to be a Data Class (WOC=11.111%, NOPA=5, NOAM=0, WMC=9)","Design","DataClass"
"1","org.pyload.android.client.fragments","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/android/client/fragments/AbstractPackageFragment.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.pyload.android.client.fragments","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/android/client/fragments/AbstractPackageFragment.java","3","103","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.pyload.android.client.fragments","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/android/client/fragments/OverviewFragment.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.pyload.android.client.module","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/android/client/module/GuiTask.java","3","5","The class 'GuiTask' is suspected to be a Data Class (WOC=27.273%, NOPA=1, NOAM=5, WMC=12)","Design","DataClass"
"1","org.pyload.android.client","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/android/client/pyLoadApp.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/AccountInfo.java","3","30","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/AccountInfo.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/AccountInfo.java","3","858","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/CaptchaTask.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/ConfigItem.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/ConfigSection.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/DownloadInfo.java","3","30","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/DownloadInfo.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/DownloadInfo.java","3","236","Avoid long parameter lists.","Design","ExcessiveParameterList"
"4","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/DownloadInfo.java","3","737","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/DownloadInfo.java","3","976","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/DownloadInfo.java","3","1132","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/DownloadInfo.java","3","1316","Avoid really long methods.","Design","ExcessiveMethodLength"
"8","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/DownloadInfo.java","3","1449","Avoid really long methods.","Design","ExcessiveMethodLength"
"9","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/DownloadInfo.java","3","1681","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/Event.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/EventInfo.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/FileData.java","3","30","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.pyload.thrift","/home/matheus/smell-and-machine-learning/repositories/pyload-android/app/src/main/java/org/pyload/thrift/FileData.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
