"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.emergent.android.weave","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/src/org/emergent/android/weave/LoginActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.emergent.android.weave","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/src/org/emergent/android/weave/LoginActivity.java","3","479","The class 'AuthResult' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","org.emergent.android.weave","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/src/org/emergent/android/weave/MainActivity.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.emergent.android.weave","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/src/org/emergent/android/weave/StaticUtils.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.emergent.android.weave","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/src/org/emergent/android/weave/WeaveListFragment.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.emergent.android.weave.syncadapter","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/src/org/emergent/android/weave/syncadapter/SyncService.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.emergent.android.weave.client","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/client/src/main/java/org/emergent/android/weave/client/Dbg.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.emergent.android.weave.client","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/client/src/main/java/org/emergent/android/weave/client/Dbg.java","3","111","The class 'DebugLogRecord' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=12)","Design","DataClass"
"1","org.emergent.android.weave.client","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/client/src/main/java/org/emergent/android/weave/client/UserWeaveImpl.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.emergent.android.weave.client","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/client/src/main/java/org/emergent/android/weave/client/WeaveCryptoUtil.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.emergent.android.weave.client","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/client/src/main/java/org/emergent/android/weave/client/WeaveException.java","3","26","The class 'WeaveException' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=1, WMC=16)","Design","DataClass"
"1","org.emergent.android.weave.client","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/client/src/main/java/org/emergent/android/weave/client/WeaveResponse.java","3","30","The class 'WeaveResponse' is suspected to be a Data Class (WOC=28.571%, NOPA=0, NOAM=4, WMC=8)","Design","DataClass"
"1","org.emergent.android.weave.client","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/client/src/main/java/org/emergent/android/weave/client/WeaveTransport.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.emergent.android.weave.client","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/client/src/main/java/org/emergent/android/weave/client/WeaveUtil.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.emergent.plumber","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/server/src/main/java/org/emergent/plumber/MiscUtil.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.emergent.plumber.util","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/server/src/main/java/org/emergent/plumber/util/DerbyUtil.java","3","49","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.emergent.plumber.util","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/server/src/main/java/org/emergent/plumber/util/DerbyUtil.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.emergent.plumber.util","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/server/src/main/java/org/emergent/plumber/util/DerbyUtil.java","3","232","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.emergent.plumber.util","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/server/src/main/java/org/emergent/plumber/util/TeePrintWriter.java","3","9","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.emergent.plumber.util","/home/matheus/smell-and-machine-learning/repositories/emergentdotorg_shaman/weave/server/src/main/java/org/emergent/plumber/util/TeeServletOutputStream.java","3","9","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
