"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.fortuna.ical4j.data","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/data/HCalendarParser.java","3","136","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.fortuna.ical4j.data","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/data/HCalendarParser.java","3","361","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.fortuna.ical4j.model","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/Calendar.java","3","265","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.fortuna.ical4j.model","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/Component.java","3","273","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.fortuna.ical4j.model","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/DateList.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.fortuna.ical4j.model","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/Period.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.fortuna.ical4j.model","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/PeriodList.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.fortuna.ical4j.model","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/Recur.java","3","60","Avoid really long classes.","Design","ExcessiveClassLength"
"1","net.fortuna.ical4j.model.component","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/component/VEvent.java","3","222","Avoid really long classes.","Design","ExcessiveClassLength"
"2","net.fortuna.ical4j.model.component","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/component/VEvent.java","3","335","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.fortuna.ical4j.model.component","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/component/VToDo.java","3","145","Avoid really long classes.","Design","ExcessiveClassLength"
"2","net.fortuna.ical4j.model.component","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/component/VToDo.java","3","246","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.fortuna.ical4j.model.parameter","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/parameter/CuType.java","3","44","The class 'CuType' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=1, WMC=2)","Design","DataClass"
"1","net.fortuna.ical4j.model.parameter","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/parameter/Encoding.java","3","85","The class 'Encoding' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=1, WMC=2)","Design","DataClass"
"1","net.fortuna.ical4j.model.parameter","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/parameter/FbType.java","3","44","The class 'FbType' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=1, WMC=2)","Design","DataClass"
"1","net.fortuna.ical4j.model.parameter","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/parameter/PartStat.java","3","44","The class 'PartStat' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=1, WMC=2)","Design","DataClass"
"1","net.fortuna.ical4j.model.parameter","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/parameter/RelType.java","3","44","The class 'RelType' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=1, WMC=2)","Design","DataClass"
"1","net.fortuna.ical4j.model.parameter","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/parameter/Role.java","3","44","The class 'Role' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=1, WMC=2)","Design","DataClass"
"1","net.fortuna.ical4j.model.parameter","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/parameter/ScheduleAgent.java","3","42","The class 'ScheduleAgent' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=1, WMC=2)","Design","DataClass"
"1","net.fortuna.ical4j.model.parameter","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/parameter/Value.java","3","44","The class 'Value' is suspected to be a Data Class (WOC=0.000%, NOPA=14, NOAM=1, WMC=2)","Design","DataClass"
"1","net.fortuna.ical4j.model.property","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/property/Action.java","3","47","The class 'Action' is suspected to be a Data Class (WOC=16.667%, NOPA=4, NOAM=2, WMC=6)","Design","DataClass"
"1","net.fortuna.ical4j.model.property","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/property/Attach.java","3","113","The class 'Attach' is suspected to be a Data Class (WOC=23.077%, NOPA=0, NOAM=4, WMC=23)","Design","DataClass"
"1","net.fortuna.ical4j.model.property","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/property/BusyType.java","3","60","The class 'BusyType' is suspected to be a Data Class (WOC=16.667%, NOPA=3, NOAM=2, WMC=6)","Design","DataClass"
"1","net.fortuna.ical4j.model.property","/home/matheus/smell-and-machine-learning/repositories/AndroidCaldavSyncAdapater/CalDAVSyncAdapter/src/net/fortuna/ical4j/model/property/Clazz.java","3","94","The class 'Clazz' is suspected to be a Data Class (WOC=16.667%, NOPA=3, NOAM=2, WMC=6)","Design","DataClass"
