"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.matburt.mobileorg","/home/matheus/smell-and-machine-learning/repositories/mobileorg-android/MobileOrg/src/main/java/com/matburt/mobileorg/AgendaFragment.java","3","82","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.matburt.mobileorg","/home/matheus/smell-and-machine-learning/repositories/mobileorg-android/MobileOrg/src/main/java/com/matburt/mobileorg/EditNodeFragment.java","3","51","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.matburt.mobileorg","/home/matheus/smell-and-machine-learning/repositories/mobileorg-android/MobileOrg/src/main/java/com/matburt/mobileorg/OrgNodeListActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.matburt.mobileorg.gui.outline","/home/matheus/smell-and-machine-learning/repositories/mobileorg-android/MobileOrg/src/main/java/com/matburt/mobileorg/gui/outline/OutlineAdapter.java","3","131","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.matburt.mobileorg.orgdata","/home/matheus/smell-and-machine-learning/repositories/mobileorg-android/MobileOrg/src/main/java/com/matburt/mobileorg/orgdata/OrgFile.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.matburt.mobileorg.orgdata","/home/matheus/smell-and-machine-learning/repositories/mobileorg-android/MobileOrg/src/main/java/com/matburt/mobileorg/orgdata/OrgFileParser.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.matburt.mobileorg.orgdata","/home/matheus/smell-and-machine-learning/repositories/mobileorg-android/MobileOrg/src/main/java/com/matburt/mobileorg/orgdata/OrgNode.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.matburt.mobileorg.synchronizers","/home/matheus/smell-and-machine-learning/repositories/mobileorg-android/MobileOrg/src/main/java/com/matburt/mobileorg/synchronizers/Synchronizer.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.matburt.mobileorg.synchronizers","/home/matheus/smell-and-machine-learning/repositories/mobileorg-android/MobileOrg/src/main/java/com/matburt/mobileorg/synchronizers/UbuntuOneSynchronizer.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.matburt.mobileorg.util","/home/matheus/smell-and-machine-learning/repositories/mobileorg-android/MobileOrg/src/main/java/com/matburt/mobileorg/util/SelectionBuilder.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
