"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.elsdoerfer.android.autostarts","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/elsdoerfer/android/autostarts/ListActivity.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.elsdoerfer.android.autostarts","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/elsdoerfer/android/autostarts/ReceiverReader.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.elsdoerfer.android.autostarts","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/elsdoerfer/android/autostarts/ToggleTool.java","3","94","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.elsdoerfer.android.autostarts.db","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/elsdoerfer/android/autostarts/db/IntentFilterInfo.java","3","23","The class 'IntentFilterInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","com.stericson.RootTools","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/RootTools.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.stericson.RootTools.containers","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/containers/RootClass.java","3","80","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.RootTools.execution","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/execution/Shell.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.stericson.RootTools.execution","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/execution/Shell.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.stericson.RootTools.execution","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/execution/Shell.java","3","541","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.RootTools.internal","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/internal/Installer.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.RootTools.internal","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/internal/Remounter.java","3","59","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.stericson.RootTools.internal","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/internal/RootToolsInternalMethods.java","3","56","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.stericson.RootTools.internal","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/internal/RootToolsInternalMethods.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.stericson.RootTools.internal","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/internal/RootToolsInternalMethods.java","3","244","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.stericson.RootTools.internal","/home/matheus/smell-and-machine-learning/repositories/android-autostarts/src/com/stericson/RootTools/internal/RootToolsInternalMethods.java","3","653","Avoid really long methods.","Design","ExcessiveMethodLength"
