"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","edu.sfsu.cs.orange.ocr","/home/matheus/smell-and-machine-learning/repositories/android-ocr/OCRTest/src/main/java/edu/sfsu/cs/orange/ocr/CaptureActivity.java","3","77","Avoid really long classes.","Design","ExcessiveClassLength"
"2","edu.sfsu.cs.orange.ocr","/home/matheus/smell-and-machine-learning/repositories/android-ocr/OCRTest/src/main/java/edu/sfsu/cs/orange/ocr/CaptureActivity.java","3","78","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","edu.sfsu.cs.orange.ocr","/home/matheus/smell-and-machine-learning/repositories/android-ocr/OCRTest/src/main/java/edu/sfsu/cs/orange/ocr/CaptureActivity.java","3","214","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","edu.sfsu.cs.orange.ocr","/home/matheus/smell-and-machine-learning/repositories/android-ocr/OCRTest/src/main/java/edu/sfsu/cs/orange/ocr/OcrInitAsyncTask.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","edu.sfsu.cs.orange.ocr","/home/matheus/smell-and-machine-learning/repositories/android-ocr/OCRTest/src/main/java/edu/sfsu/cs/orange/ocr/OcrInitAsyncTask.java","3","124","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","edu.sfsu.cs.orange.ocr","/home/matheus/smell-and-machine-learning/repositories/android-ocr/OCRTest/src/main/java/edu/sfsu/cs/orange/ocr/OcrResult.java","3","30","The class 'OcrResult' is suspected to be a Data Class (WOC=4.167%, NOPA=0, NOAM=21, WMC=26)","Design","DataClass"
"2","edu.sfsu.cs.orange.ocr","/home/matheus/smell-and-machine-learning/repositories/android-ocr/OCRTest/src/main/java/edu/sfsu/cs/orange/ocr/OcrResult.java","3","48","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","edu.sfsu.cs.orange.ocr","/home/matheus/smell-and-machine-learning/repositories/android-ocr/OCRTest/src/main/java/edu/sfsu/cs/orange/ocr/OcrResultText.java","3","26","The class 'OcrResultText' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=9, WMC=10)","Design","DataClass"
"1","edu.sfsu.cs.orange.ocr","/home/matheus/smell-and-machine-learning/repositories/android-ocr/OCRTest/src/main/java/edu/sfsu/cs/orange/ocr/ViewfinderView.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","edu.sfsu.cs.orange.ocr.language","/home/matheus/smell-and-machine-learning/repositories/android-ocr/OCRTest/src/main/java/edu/sfsu/cs/orange/ocr/language/LanguageCodeHelper.java","3","47","Avoid really long methods.","Design","ExcessiveMethodLength"
