"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.wahtod.wififixer","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/WFMonitor.java","3","55","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.wahtod.wififixer","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/WFMonitor.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wahtod.wififixer","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/WFMonitorService.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wahtod.wififixer.prefs","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/prefs/PrefUtil.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wahtod.wififixer.ui","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/ui/AboutFragment.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.wahtod.wififixer.ui","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/ui/AboutFragment.java","3","220","The class 'ViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=6)","Design","DataClass"
"1","org.wahtod.wififixer.ui","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/ui/ConnectFragment.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wahtod.wififixer.ui","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/ui/KnownNetworksFragment.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wahtod.wififixer.ui","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/ui/MainActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.wahtod.wififixer.ui","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/ui/StatusFragment.java","3","184","The class 'ViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=6)","Design","DataClass"
"1","org.wahtod.wififixer.utility","/home/matheus/smell-and-machine-learning/repositories/Zanshinmu_Wifi-Fixer/wififixer/src/org/wahtod/wififixer/utility/NotifUtil.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
