"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.codehaus.jackson","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/Base64Variant.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.codehaus.jackson","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/JsonFactory.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.codehaus.jackson","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/JsonGenerator.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.codehaus.jackson","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/JsonParser.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/DefaultPrettyPrinter.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/JsonGeneratorBase.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/JsonNumericParserBase.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/JsonParserBase.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/ReaderBasedNumericParser.java","3","53","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/ReaderBasedNumericParser.java","3","176","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/ReaderBasedParser.java","3","15","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/ReaderBasedParser.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/ReaderBasedParser.java","3","61","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/Utf8NumericParser.java","3","56","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/Utf8StreamParser.java","3","14","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/Utf8StreamParser.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/Utf8StreamParser.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/Utf8StreamParser.java","3","630","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/Utf8StreamParser.java","3","789","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.codehaus.jackson.impl","/home/matheus/smell-and-machine-learning/repositories/freezy_android-xbmcremote/lib-src/org/codehaus/jackson/impl/WriterBasedGenerator.java","3","11","Avoid really long classes.","Design","ExcessiveClassLength"
