"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","jp.redmine.redmineclient.activity","/home/matheus/smell-and-machine-learning/repositories/indication_OpenRedmine/OpenRedmine/src/main/java/jp/redmine/redmineclient/activity/ProjectActivity.java","3","38","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jp.redmine.redmineclient.adapter","/home/matheus/smell-and-machine-learning/repositories/indication_OpenRedmine/OpenRedmine/src/main/java/jp/redmine/redmineclient/adapter/JournalListAdapter.java","3","57","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jp.redmine.redmineclient.db.cache","/home/matheus/smell-and-machine-learning/repositories/indication_OpenRedmine/OpenRedmine/src/main/java/jp/redmine/redmineclient/db/cache/RedmineAttachmentModel.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jp.redmine.redmineclient.db.cache","/home/matheus/smell-and-machine-learning/repositories/indication_OpenRedmine/OpenRedmine/src/main/java/jp/redmine/redmineclient/db/cache/RedmineCategoryModel.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jp.redmine.redmineclient.db.cache","/home/matheus/smell-and-machine-learning/repositories/indication_OpenRedmine/OpenRedmine/src/main/java/jp/redmine/redmineclient/db/cache/RedmineFilterModel.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jp.redmine.redmineclient.db.cache","/home/matheus/smell-and-machine-learning/repositories/indication_OpenRedmine/OpenRedmine/src/main/java/jp/redmine/redmineclient/db/cache/RedmineIssueModel.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jp.redmine.redmineclient.db.cache","/home/matheus/smell-and-machine-learning/repositories/indication_OpenRedmine/OpenRedmine/src/main/java/jp/redmine/redmineclient/db/cache/RedmineIssueRelationModel.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jp.redmine.redmineclient.db.cache","/home/matheus/smell-and-machine-learning/repositories/indication_OpenRedmine/OpenRedmine/src/main/java/jp/redmine/redmineclient/db/cache/RedminePriorityModel.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jp.redmine.redmineclient.db.cache","/home/matheus/smell-and-machine-learning/repositories/indication_OpenRedmine/OpenRedmine/src/main/java/jp/redmine/redmineclient/db/cache/RedmineRoleModel.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jp.redmine.redmineclient.db.cache","/home/matheus/smell-and-machine-learning/repositories/indication_OpenRedmine/OpenRedmine/src/main/java/jp/redmine/redmineclient/db/cache/RedmineStatusModel.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
