"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","sonoroxadc.boids","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/boids/Boid.java","3","9","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","sonoroxadc.boids","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/boids/Vector3D.java","3","3","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","sonoroxadc.garethmurfin.co.uk","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/garethmurfin/co/uk/Graphics.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","sonoroxadc.garethmurfin.co.uk","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/garethmurfin/co/uk/Graphics.java","3","127","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","sonoroxadc.garethmurfin.co.uk","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/garethmurfin/co/uk/SonoroxActivity.java","3","60","Avoid really long classes.","Design","ExcessiveClassLength"
"2","sonoroxadc.garethmurfin.co.uk","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/garethmurfin/co/uk/SonoroxActivity.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","sonoroxadc.garethmurfin.co.uk","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/garethmurfin/co/uk/SonoroxActivity.java","3","436","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","sonoroxadc.garethmurfin.co.uk","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/garethmurfin/co/uk/SonoroxSurfaceView.java","3","40","Avoid really long classes.","Design","ExcessiveClassLength"
"2","sonoroxadc.garethmurfin.co.uk","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/garethmurfin/co/uk/SonoroxSurfaceView.java","3","42","Avoid really long classes.","Design","ExcessiveClassLength"
"3","sonoroxadc.garethmurfin.co.uk","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/garethmurfin/co/uk/SonoroxSurfaceView.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","sonoroxadc.garethmurfin.co.uk","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/garethmurfin/co/uk/SonoroxSurfaceView.java","3","500","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","sonoroxadc.garethmurfin.co.uk","/home/matheus/smell-and-machine-learning/repositories/amiga_sonorox/src/sonoroxadc/garethmurfin/co/uk/SonoroxSurfaceView.java","3","912","Avoid really long methods.","Design","ExcessiveMethodLength"
