"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.codebutler.farebot.base.util","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-base/src/main/java/com/codebutler/farebot/base/util/ArrayUtils.java","3","7","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.codebutler.farebot.base.util","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-base/src/main/java/com/codebutler/farebot/base/util/ArrayUtils.java","3","7","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.codebutler.farebot.base.util","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-base/src/main/java/com/codebutler/farebot/base/util/ByteUtils.java","3","5","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.codebutler.farebot.base.util","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-base/src/main/java/com/codebutler/farebot/base/util/IOUtils.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.codebutler.farebot.card.cepas","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-card-cepas/src/main/java/com/codebutler/farebot/card/cepas/CEPASPurse.java","3","36","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.codebutler.farebot.card.desfire","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-card-desfire/src/main/java/com/codebutler/farebot/card/desfire/DesfireCard.java","3","78","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.codebutler.farebot.card.desfire","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-card-desfire/src/main/java/com/codebutler/farebot/card/desfire/DesfireManufacturingData.java","3","133","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.codebutler.farebot.card.felica","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-card-felica/src/main/java/com/codebutler/farebot/card/felica/FelicaDBUtil.java","3","29","The class 'FelicaDBUtil' is suspected to be a Data Class (WOC=0.000%, NOPA=16, NOAM=0, WMC=1)","Design","DataClass"
"1","com.codebutler.farebot.card.felica","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-card-felica/src/main/java/com/codebutler/farebot/card/felica/FelicaTagReader.java","3","67","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.codebutler.farebot.transit.hsl","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-transit-hsl/src/main/java/com/codebutler/farebot/transit/hsl/HSLTransitFactory.java","3","66","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.codebutler.farebot.transit.hsl","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-transit-hsl/src/main/java/com/codebutler/farebot/transit/hsl/HSLTransitInfo.java","3","200","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.codebutler.farebot.transit.ovc","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-transit-ovc/src/main/java/com/codebutler/farebot/transit/ovc/OVChipSubscription.java","3","74","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.codebutler.farebot.transit.ovc","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-transit-ovc/src/main/java/com/codebutler/farebot/transit/ovc/OVChipSubscription.java","3","247","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.codebutler.farebot.transit.ovc","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-transit-ovc/src/main/java/com/codebutler/farebot/transit/ovc/OVChipTransaction.java","3","44","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.codebutler.farebot.transit.ovc","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-transit-ovc/src/main/java/com/codebutler/farebot/transit/ovc/OVChipTransaction.java","3","262","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.codebutler.farebot.transit.ovc","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-transit-ovc/src/main/java/com/codebutler/farebot/transit/ovc/OVChipTrip.java","3","318","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.codebutler.farebot.transit.seq_go","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-transit-seqgo/src/main/java/com/codebutler/farebot/transit/seq_go/SeqGoDBUtil.java","3","33","The class 'SeqGoDBUtil' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=1)","Design","DataClass"
"1","com.codebutler.farebot.transit.seq_go","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-transit-seqgo/src/main/java/com/codebutler/farebot/transit/seq_go/SeqGoTransitFactory.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.codebutler.farebot.transit.suica","/home/matheus/smell-and-machine-learning/repositories/codebutler_farebot/farebot-transit-suica/src/main/java/com/codebutler/farebot/transit/suica/SuicaTrip.java","3","310","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
