"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.freiheit.gnupg","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/com/freiheit/gnupg/GnuPGContext.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.freiheit.gnupg","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/com/freiheit/gnupg/GnuPGData.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.freiheit.gnupg","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/com/freiheit/gnupg/GnuPGKey.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.freiheit.gnupg","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/com/freiheit/gnupg/GnuPGSignature.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.gpg","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/info/guardianproject/gpg/DebugLogActivity.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","info.guardianproject.gpg","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/info/guardianproject/gpg/DebugLogActivity.java","3","111","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","info.guardianproject.gpg","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/info/guardianproject/gpg/FileHandlerActivity.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.gpg","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/info/guardianproject/gpg/KeyListFragment.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.gpg","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/info/guardianproject/gpg/KeyserverResult.java","3","4","The class 'KeyserverResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","info.guardianproject.gpg","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/info/guardianproject/gpg/MainActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.gpg.pinentry","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/info/guardianproject/gpg/pinentry/PinentryDialog.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.guardianproject.gpg.sync","/home/matheus/smell-and-machine-learning/repositories/guardianproject_gnupg-for-android/src/info/guardianproject/gpg/sync/GpgContactOperations.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
