"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","at.technikum.mti.fancycoverflow","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/at/technikum/mti/fancycoverflow/FancyCoverFlow.java","3","31","The class 'FancyCoverFlow' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=17, WMC=28)","Design","DataClass"
"1","de.skubware.opentraining.activity.create_workout","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/activity/create_workout/ExerciseTypeDetailFragment.java","3","66","The class 'ExerciseTypeDetailFragment' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"2","de.skubware.opentraining.activity.create_workout","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/activity/create_workout/ExerciseTypeDetailFragment.java","3","178","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.skubware.opentraining.activity.create_workout","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/activity/create_workout/ExerciseTypeListActivity.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.skubware.opentraining.activity.create_workout","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/activity/create_workout/ExerciseTypeListFragment.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.skubware.opentraining.activity.manage_workouts","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/activity/manage_workouts/WorkoutDetailFragment.java","3","115","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.skubware.opentraining.activity.settings","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/activity/settings/SettingsActivity.java","3","112","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.skubware.opentraining.activity.settings.sync","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/activity/settings/sync/OpenTrainingSyncService.java","3","40","The class 'OpenTrainingSyncService' is suspected to be a Data Class (WOC=0.000%, NOPA=16, NOAM=0, WMC=5)","Design","DataClass"
"1","de.skubware.opentraining.activity.settings.sync","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/activity/settings/sync/WgerJSONParser.java","3","74","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.skubware.opentraining.activity.start_training","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/activity/start_training/SwipeDismissListViewTouchListener.java","3","167","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.skubware.opentraining.basic","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/basic/ExerciseType.java","3","78","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.skubware.opentraining.basic","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/basic/Workout.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.skubware.opentraining.db","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/db/DataProvider.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.skubware.opentraining.db.parser","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/db/parser/XMLSaver.java","3","70","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","de.skubware.opentraining.db.parser","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/db/parser/XMLSaver.java","3","209","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.skubware.opentraining.exporter","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/exporter/LaTeXExporter.java","3","50","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","de.skubware.opentraining.exporter","/home/matheus/smell-and-machine-learning/repositories/opentraining/app/src/de/skubware/opentraining/exporter/LaTeXExporter.java","3","214","The class 'Settings' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=15)","Design","DataClass"
