"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.teleca.jamendo","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/JamendoApplication.java","3","317","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.teleca.jamendo.activity","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/activity/AlbumActivity.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.teleca.jamendo.activity","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/activity/DownloadActivity.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.teleca.jamendo.activity","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/activity/HomeActivity.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.teleca.jamendo.activity","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/activity/PlayerActivity.java","3","89","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.teleca.jamendo.activity","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/activity/PlayerActivity.java","3","178","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.teleca.jamendo.api","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/api/Album.java","3","27","The class 'Album' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=12, WMC=12)","Design","DataClass"
"1","com.teleca.jamendo.api","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/api/Artist.java","3","26","The class 'Artist' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=16, WMC=16)","Design","DataClass"
"1","com.teleca.jamendo.api","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/api/License.java","3","24","The class 'License' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","com.teleca.jamendo.api","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/api/Playlist.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.teleca.jamendo.api","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/api/PlaylistEntry.java","3","28","The class 'PlaylistEntry' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","com.teleca.jamendo.api","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/api/PlaylistRemote.java","3","26","The class 'PlaylistRemote' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","com.teleca.jamendo.api","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/api/Radio.java","3","24","The class 'Radio' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
"1","com.teleca.jamendo.api","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/api/Review.java","3","27","The class 'Review' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=16, WMC=16)","Design","DataClass"
"1","com.teleca.jamendo.api","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/api/Track.java","3","36","The class 'Track' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=14)","Design","DataClass"
"1","com.teleca.jamendo.media","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/media/PlayerEngineImpl.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.teleca.jamendo.media","/home/matheus/smell-and-machine-learning/repositories/telecapoland_jamendo-android/src/com/teleca/jamendo/media/PlayerEngineImpl.java","3","295","Avoid really long methods.","Design","ExcessiveMethodLength"
