"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.axelby.gpodder.dto","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/gpodder/dto/EpisodeUpdate.java","3","14","The class 'EpisodeUpdate' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=8, WMC=31)","Design","DataClass"
"1","com.axelby.gpodder.dto","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/gpodder/dto/Podcast.java","3","10","The class 'Podcast' is suspected to be a Data Class (WOC=9.091%, NOPA=0, NOAM=10, WMC=34)","Design","DataClass"
"1","com.axelby.podax","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/DBAdapter.java","3","68","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.axelby.podax","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/PlayerService.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.axelby.podax","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/PodcastPlayer.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.axelby.podax","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/PodcastProvider.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.axelby.podax","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/PodcastProvider.java","3","252","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.axelby.podax","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/SubscriptionUpdater.java","3","46","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.axelby.podax","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/UpdateService.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.axelby.podax.ui","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/ui/MainActivity.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.axelby.podax.ui","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/ui/PodcastDetailFragment.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.axelby.podax.ui","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/ui/PodcastDetailFragment.java","3","91","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.axelby.podax.ui","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/ui/PodcastListFragment.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.axelby.podax.ui","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/ui/PreferenceListFragment.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.axelby.podax.ui","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/ui/QueueFragment.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.axelby.podax.ui","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/podax/ui/SearchFragment.java","3","66","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.axelby.riasel","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/riasel/Feed.java","3","7","The class 'Feed' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=8, WMC=13)","Design","DataClass"
"1","com.axelby.riasel","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/axelby/riasel/FeedItem.java","3","7","The class 'FeedItem' is suspected to be a Data Class (WOC=5.882%, NOPA=0, NOAM=16, WMC=24)","Design","DataClass"
"1","com.mobeta.android.dslv","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/mobeta/android/dslv/DragSortController.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mobeta.android.dslv","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/mobeta/android/dslv/DragSortListView.java","3","61","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.mobeta.android.dslv","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/mobeta/android/dslv/DragSortListView.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.mobeta.android.dslv","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/mobeta/android/dslv/DragSortListView.java","3","440","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.mobeta.android.dslv","/home/matheus/smell-and-machine-learning/repositories/thasmin_Podax/src/main/java/com/mobeta/android/dslv/DragSortListView.java","3","953","Avoid really long methods.","Design","ExcessiveMethodLength"
