"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.qspool.clementineremote.backend","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/ClementineLibraryDownloader.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.qspool.clementineremote.backend","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/ClementineLibraryDownloader.java","3","145","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.qspool.clementineremote.backend","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/ClementinePlayerConnection.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.qspool.clementineremote.backend.downloader","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/downloader/ClementineSongDownloader.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.qspool.clementineremote.backend.downloader","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/downloader/ClementineSongDownloader.java","3","173","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineMessageFactory.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementinePbParser.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","6","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","1147","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","1455","Avoid really long classes.","Design","ExcessiveClassLength"
"4","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","1457","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"5","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","1480","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","2815","Avoid really long classes.","Design","ExcessiveClassLength"
"7","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","2817","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"8","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","4450","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"9","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","4818","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"10","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","5204","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"11","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","5425","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"12","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","5604","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"13","de.qspool.clementineremote.backend.pb","/home/matheus/smell-and-machine-learning/repositories/Android-Remote/app/src/main/java/de/qspool/clementineremote/backend/pb/ClementineRemoteProtocolBuffer.java","3","5829","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
