"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.madgag.agit","/home/matheus/smell-and-machine-learning/repositories/agit/agit-integration-tests/src/main/java/com/madgag/agit/GitAsyncTaskTest.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.agit","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/main/java/com/madgag/agit/CloneLauncherActivity.java","3","78","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.agit","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/main/java/com/madgag/agit/CommitViewerActivity.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.agit","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/main/java/com/madgag/agit/GitIntentBuilder.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.agit","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/main/java/com/madgag/agit/GitIntents.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.agit","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/main/java/com/madgag/agit/RepoScopedActivityBase.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.agit","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/main/java/com/madgag/agit/RepositoryViewerActivity.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.agit.diff","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/main/java/com/madgag/agit/diff/LineContextDiffer.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.agit.git","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/main/java/com/madgag/agit/git/Repos.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.agit.git.model","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/main/java/com/madgag/agit/git/model/RepoDomainType.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.android.jgit","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/main/java/com/madgag/android/jgit/HarmonyFixInflater.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.madgag.agit.shadow","/home/matheus/smell-and-machine-learning/repositories/agit/agit/src/test/java/com/madgag/agit/shadow/ShadowSherlockActivity.java","3","39","Avoid really long methods.","Design","ExcessiveMethodLength"
