"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.lumicall.android.db","/home/matheus/smell-and-machine-learning/repositories/opentelecoms-org_lumicall/src/org/lumicall/android/db/LumicallDataSource.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.lumicall.android.db","/home/matheus/smell-and-machine-learning/repositories/opentelecoms-org_lumicall/src/org/lumicall/android/db/SIP5060ProvisioningRequest.java","3","12","The class 'SIP5060ProvisioningRequest' is suspected to be a Data Class (WOC=26.667%, NOPA=1, NOAM=10, WMC=20)","Design","DataClass"
"1","org.lumicall.android.db","/home/matheus/smell-and-machine-learning/repositories/opentelecoms-org_lumicall/src/org/lumicall/android/db/UserMessage.java","3","17","The class 'UserMessage' is suspected to be a Data Class (WOC=13.793%, NOPA=1, NOAM=24, WMC=34)","Design","DataClass"
"1","org.lumicall.android.reg","/home/matheus/smell-and-machine-learning/repositories/opentelecoms-org_lumicall/src/org/lumicall/android/reg/EnrolmentService.java","3","367","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.lumicall.android.sip","/home/matheus/smell-and-machine-learning/repositories/opentelecoms-org_lumicall/src/org/lumicall/android/sip/CountryData.java","3","3","The class 'CountryData' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","org.sipdroid.codecs","/home/matheus/smell-and-machine-learning/repositories/opentelecoms-org_lumicall/src/org/sipdroid/codecs/Codec.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.codecs","/home/matheus/smell-and-machine-learning/repositories/opentelecoms-org_lumicall/src/org/sipdroid/codecs/CodecBase.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.codecs","/home/matheus/smell-and-machine-learning/repositories/opentelecoms-org_lumicall/src/org/sipdroid/codecs/Codecs.java","3","226","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sipdroid.media","/home/matheus/smell-and-machine-learning/repositories/opentelecoms-org_lumicall/src/org/sipdroid/media/JAudioLauncher.java","3","97","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.sipdroid.media","/home/matheus/smell-and-machine-learning/repositories/opentelecoms-org_lumicall/src/org/sipdroid/media/RtpStreamReceiver.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
