"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","it.sasabz.android.sasabus.beacon.bus","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/beacon/bus/BusBeacon.java","3","34","The class 'BusBeacon' is suspected to be a Data Class (WOC=14.286%, NOPA=15, NOAM=6, WMC=23)","Design","DataClass"
"1","it.sasabz.android.sasabus.beacon.notification","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/beacon/notification/TripNotification.java","3","208","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","it.sasabz.android.sasabus.data.model","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/BusStop.java","3","34","The class 'BusStop' is suspected to be a Data Class (WOC=23.529%, NOPA=1, NOAM=8, WMC=20)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/BusStopDetail.java","3","23","The class 'BusStopDetail' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=12, WMC=14)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/ExecutedTrip.java","3","20","The class 'ExecutedTrip' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=7, WMC=8)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/News.java","3","25","The class 'News' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=5, WMC=7)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/Parking.java","3","25","The class 'Parking' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=8, WMC=9)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model.line","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/line/LineCourse.java","3","26","The class 'LineCourse' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=2)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model.line","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/line/LineDetail.java","3","23","The class 'LineDetail' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=9, WMC=11)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model.line","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/line/LineDisruption.java","3","23","The class 'LineDisruption' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=3, WMC=5)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model.line","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/line/LineDriving.java","3","25","The class 'LineDriving' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=6)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model.route","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/route/RouteLeg.java","3","25","The class 'RouteLeg' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=9, WMC=11)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model.route","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/route/RouteRecent.java","3","20","The class 'RouteRecent' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=11, WMC=12)","Design","DataClass"
"1","it.sasabz.android.sasabus.data.model.route","/home/matheus/smell-and-machine-learning/repositories/SASAbus/app/src/main/java/it/sasabz/android/sasabus/data/model/route/RouteResult.java","3","25","The class 'RouteResult' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=6)","Design","DataClass"
