"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.dahanne.gallery.commons.model","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/commons-gallery/src/main/java/net/dahanne/gallery/commons/model/Album.java","3","25","The class 'Album' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=32, WMC=35)","Design","DataClass"
"2","net.dahanne.gallery.commons.model","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/commons-gallery/src/main/java/net/dahanne/gallery/commons/model/Album.java","3","51","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","net.dahanne.gallery.commons.model","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/commons-gallery/src/main/java/net/dahanne/gallery/commons/model/Picture.java","3","23","The class 'Picture' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=42, WMC=42)","Design","DataClass"
"1","net.dahanne.gallery.g2.java.client.business","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g2-java-client/src/main/java/net/dahanne/gallery/g2/java/client/business/G2Client.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.dahanne.gallery.g2.java.client.business","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g2-java-client/src/main/java/net/dahanne/gallery/g2/java/client/business/G2Client.java","3","372","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.dahanne.gallery.g2.java.client.model","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g2-java-client/src/main/java/net/dahanne/gallery/g2/java/client/model/G2Album.java","3","25","The class 'G2Album' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=25, WMC=28)","Design","DataClass"
"2","net.dahanne.gallery.g2.java.client.model","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g2-java-client/src/main/java/net/dahanne/gallery/g2/java/client/model/G2Album.java","3","48","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","net.dahanne.gallery.g2.java.client.model","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g2-java-client/src/main/java/net/dahanne/gallery/g2/java/client/model/G2Picture.java","3","23","The class 'G2Picture' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=36, WMC=36)","Design","DataClass"
"1","net.dahanne.gallery.g2.java.client.business","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g2-java-client/src/test/java/net/dahanne/gallery/g2/java/client/business/G2ClientTest.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.dahanne.gallery3.client.business","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g3-java-client/src/main/java/net/dahanne/gallery3/client/business/G3Client.java","3","228","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.dahanne.gallery3.client.model","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g3-java-client/src/main/java/net/dahanne/gallery3/client/model/Item.java","3","25","The class 'Item' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=7, WMC=7)","Design","DataClass"
"1","net.dahanne.gallery3.client.model","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g3-java-client/src/main/java/net/dahanne/gallery3/client/model/RelationShips.java","3","24","The class 'RelationShips' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","net.dahanne.gallery3.client.utils","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g3-java-client/src/main/java/net/dahanne/gallery3/client/utils/ItemUtils.java","3","82","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.dahanne.gallery3.client.utils","/home/matheus/smell-and-machine-learning/repositories/anthonydahanne_ReGalAndroid/g3-java-client/src/test/java/net/dahanne/gallery3/client/utils/ItemUtilsTest.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
