"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.boombuler.piraten.map","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/PirateMap.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.boombuler.piraten.map","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/SyncController.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.boombuler.piraten.map.data","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/data/DBAdapter.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","6","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","440","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","949","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"5","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","1181","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"6","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","1483","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"7","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","1694","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"8","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","2020","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"9","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","2306","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"10","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","2636","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"11","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","2802","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"12","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","2998","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"13","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","3310","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"14","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","3720","Avoid really long classes.","Design","ExcessiveClassLength"
"15","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","3722","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"16","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","4084","Avoid really long classes.","Design","ExcessiveClassLength"
"17","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","4086","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"18","com.boombuler.piraten.map.proto","/home/matheus/smell-and-machine-learning/repositories/boombuler_piraten_map_app/src/com/boombuler/piraten/map/proto/Api.java","3","5196","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
