"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","jj2000.colorspace","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/colorspace/Resampler.java","3","110","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jj2000.icc","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/icc/ICCProfiler.java","3","178","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jj2000.j2k","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/j2k/IntegerSpec.java","3","92","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jj2000.j2k.codestream","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/j2k/codestream/CoordInfo.java","3","54","The class 'CoordInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","jj2000.j2k.codestream","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/j2k/codestream/PrecInfo.java","3","47","The class 'PrecInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=11, NOAM=0, WMC=2)","Design","DataClass"
"1","jj2000.j2k.codestream.reader","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/j2k/codestream/reader/BitstreamReaderAgent.java","3","76","Avoid really long classes.","Design","ExcessiveClassLength"
"2","jj2000.j2k.codestream.reader","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/j2k/codestream/reader/BitstreamReaderAgent.java","3","908","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","jj2000.j2k.codestream.reader","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/j2k/codestream/reader/FileBitstreamReaderAgent.java","3","76","Avoid really long classes.","Design","ExcessiveClassLength"
"2","jj2000.j2k.codestream.reader","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/j2k/codestream/reader/FileBitstreamReaderAgent.java","3","219","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","jj2000.j2k.codestream.reader","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/j2k/codestream/reader/FileBitstreamReaderAgent.java","3","559","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","jj2000.j2k.codestream.reader","/home/matheus/smell-and-machine-learning/repositories/NFC_DriversLicenseReader/src/jj2000/j2k/codestream/reader/FileBitstreamReaderAgent.java","3","988","Avoid really long methods.","Design","ExcessiveMethodLength"
