"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java","3","93","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java","3","119","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java","3","284","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java","3","517","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/CreatorActivity.java","3","190","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/ItemActivity.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/ItemActivity.java","3","340","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/ItemActivity.java","3","682","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/ItemDataActivity.java","3","80","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/ItemDataActivity.java","3","232","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/MainActivity.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/MainActivity.java","3","252","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/XMLResponseParser.java","3","95","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.gimranov.zandy.app","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/XMLResponseParser.java","3","157","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.gimranov.zandy.app.data","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/data/Creator.java","3","27","The class 'Creator' is suspected to be a Data Class (WOC=9.091%, NOPA=1, NOAM=8, WMC=15)","Design","DataClass"
"1","com.gimranov.zandy.app.data","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/data/Item.java","3","36","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.gimranov.zandy.app.data","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/data/Item.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.gimranov.zandy.app.data","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/data/Item.java","3","254","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.gimranov.zandy.app.data","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/data/Item.java","3","877","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.gimranov.zandy.app.data","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/data/Item.java","3","1364","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.gimranov.zandy.app.data","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/data/ItemCollection.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.gimranov.zandy.app.task","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/task/APIRequest.java","3","71","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.gimranov.zandy.app.task","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/task/APIRequest.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.gimranov.zandy.app.task","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/task/APIRequest.java","3","572","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.gimranov.zandy.app.task","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/task/ZoteroAPITask.java","3","49","The class 'ZoteroAPITask' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=1, WMC=4)","Design","DataClass"
"2","com.gimranov.zandy.app.task","/home/matheus/smell-and-machine-learning/repositories/zandy/src/main/java/com/gimranov/zandy/app/task/ZoteroAPITask.java","3","95","Avoid really long methods.","Design","ExcessiveMethodLength"
