"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","android.support.v4.util","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/android/support/v4/util/ArrayMap.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","android.support.v4.util","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/android/support/v4/util/ArraySet.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.sam.hex","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/com/sam/hex/BaseGameActivity.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.sam.hex","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/com/sam/hex/MainActivity.java","3","170","The class 'Stat' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
"1","com.sam.hex.compat","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/com/sam/hex/compat/NetworkPlayer.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.sam.hex.fragment","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/com/sam/hex/fragment/GameFragment.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.sam.hex.fragment","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/com/sam/hex/fragment/GameFragment.java","3","235","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.sam.hex.fragment","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/com/sam/hex/fragment/HexFragment.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.sam.hex.view","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/com/sam/hex/view/HexDialogView.java","3","451","The class 'Button' is suspected to be a Data Class (WOC=6.667%, NOPA=0, NOAM=13, WMC=34)","Design","DataClass"
"1","com.sam.hex.view","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/com/sam/hex/view/HexagonLayout.java","3","683","The class 'Button' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=11, WMC=21)","Design","DataClass"
"1","com.sam.hex.view","/home/matheus/smell-and-machine-learning/repositories/HexGame_Android/app/src/main/java/com/sam/hex/view/SelectorLayout.java","3","360","The class 'Button' is suspected to be a Data Class (WOC=9.091%, NOPA=0, NOAM=9, WMC=18)","Design","DataClass"
