"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","fr.gaulupeau.apps.Poche.data","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/data/OperationsHelper.java","3","148","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gaulupeau.apps.Poche.data.dao.entities","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/data/dao/entities/Article.java","3","16","The class 'Article' is suspected to be a Data Class (WOC=3.030%, NOPA=0, NOAM=31, WMC=33)","Design","DataClass"
"2","fr.gaulupeau.apps.Poche.data.dao.entities","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/data/dao/entities/Article.java","3","74","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","fr.gaulupeau.apps.Poche.data.dao.entities","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/data/dao/entities/ArticleTagsJoin.java","3","8","The class 'ArticleTagsJoin' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","fr.gaulupeau.apps.Poche.data.dao.entities","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/data/dao/entities/QueueItem.java","3","15","The class 'QueueItem' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=10, WMC=11)","Design","DataClass"
"1","fr.gaulupeau.apps.Poche.data.dao.entities","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/data/dao/entities/Tag.java","3","13","The class 'Tag' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","fr.gaulupeau.apps.Poche.events","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/events/EventProcessor.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","fr.gaulupeau.apps.Poche.events","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/events/EventProcessor.java","3","409","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gaulupeau.apps.Poche.events","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/events/OfflineQueueChangedEvent.java","3","3","The class 'OfflineQueueChangedEvent' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"1","fr.gaulupeau.apps.Poche.network","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/network/Updater.java","3","111","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","fr.gaulupeau.apps.Poche.network","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/network/Updater.java","3","508","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gaulupeau.apps.Poche.network","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/network/WallabagWebService.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.gaulupeau.apps.Poche.network.exceptions","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/network/exceptions/UnsuccessfulResponseException.java","3","3","The class 'UnsuccessfulResponseException' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","fr.gaulupeau.apps.Poche.service","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/service/ActionRequest.java","3","12","The class 'ActionRequest' is suspected to be a Data Class (WOC=5.000%, NOPA=2, NOAM=18, WMC=39)","Design","DataClass"
"1","fr.gaulupeau.apps.Poche.service","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/service/ActionResult.java","3","3","The class 'ActionResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=13)","Design","DataClass"
"1","fr.gaulupeau.apps.Poche.service","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/service/MainService.java","3","187","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gaulupeau.apps.Poche.service","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/service/SecondaryService.java","3","131","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gaulupeau.apps.Poche.service","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/service/ServiceHelper.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.gaulupeau.apps.Poche.tts","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/tts/TtsFragment.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","fr.gaulupeau.apps.Poche.tts","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/tts/TtsFragment.java","3","167","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gaulupeau.apps.Poche.tts","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/tts/TtsService.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.gaulupeau.apps.Poche.tts","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/tts/WebViewText.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.gaulupeau.apps.Poche.ui","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/ArticleListFragment.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.gaulupeau.apps.Poche.ui","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/MainActivity.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.gaulupeau.apps.Poche.ui","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/ManageArticleTagsActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","fr.gaulupeau.apps.Poche.ui","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/ManageArticleTagsActivity.java","3","63","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gaulupeau.apps.Poche.ui","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/ReadArticleActivity.java","3","71","Avoid really long classes.","Design","ExcessiveClassLength"
"2","fr.gaulupeau.apps.Poche.ui","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/ReadArticleActivity.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","fr.gaulupeau.apps.Poche.ui","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/ReadArticleActivity.java","3","492","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gaulupeau.apps.Poche.ui.preferences","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/preferences/ConfigurationTestHelper.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","fr.gaulupeau.apps.Poche.ui.preferences","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/preferences/ConfigurationTestHelper.java","3","75","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","fr.gaulupeau.apps.Poche.ui.preferences","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/preferences/ConnectionWizardActivity.java","3","382","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","fr.gaulupeau.apps.Poche.ui.preferences","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/preferences/SettingsActivity.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","fr.gaulupeau.apps.Poche.ui.preferences","/home/matheus/smell-and-machine-learning/repositories/android-app/app/src/main/java/fr/gaulupeau/apps/Poche/ui/preferences/SettingsActivity.java","3","245","Avoid really long methods.","Design","ExcessiveMethodLength"
