"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.weibo.net","/home/matheus/smell-and-machine-learning/repositories/oschina_android-app/src/com/weibo/net/HttpHeaderFactory.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.weibo.net","/home/matheus/smell-and-machine-learning/repositories/oschina_android-app/src/com/weibo/net/Utility.java","3","98","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.weibo.net","/home/matheus/smell-and-machine-learning/repositories/oschina_android-app/src/com/weibo/net/Weibo.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","greendroid.widget","/home/matheus/smell-and-machine-learning/repositories/oschina_android-app/src/greendroid/widget/QuickActionWidget.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.oschina.app","/home/matheus/smell-and-machine-learning/repositories/oschina_android-app/src/net/oschina/app/AppContext.java","3","66","Avoid really long classes.","Design","ExcessiveClassLength"
"2","net.oschina.app","/home/matheus/smell-and-machine-learning/repositories/oschina_android-app/src/net/oschina/app/AppContext.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.oschina.app","/home/matheus/smell-and-machine-learning/repositories/oschina_android-app/src/net/oschina/app/AppException.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.oschina.app.api","/home/matheus/smell-and-machine-learning/repositories/oschina_android-app/src/net/oschina/app/api/ApiClient.java","3","63","Avoid really long classes.","Design","ExcessiveClassLength"
"2","net.oschina.app.api","/home/matheus/smell-and-machine-learning/repositories/oschina_android-app/src/net/oschina/app/api/ApiClient.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.oschina.app.bean","/home/matheus/smell-and-machine-learning/repositories/oschina_android-app/src/net/oschina/app/bean/AccessInfo.java","3","9","The class 'AccessInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
