"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.jstun.core.attribute","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/com/jstun/core/attribute/MappedResponseChangedSourceAddressReflectedFrom.java","3","18","The class 'MappedResponseChangedSourceAddressReflectedFrom' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=4, WMC=21)","Design","DataClass"
"1","org.sipdroid.codecs","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/codecs/Codec.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.codecs","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/codecs/CodecBase.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.media","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/media/JAudioLauncher.java","3","79","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.sipdroid.media","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/media/RtpStreamReceiver.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sipdroid.media","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/media/RtpStreamReceiver.java","3","502","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sipdroid.media","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/media/RtpStreamSender.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sipdroid.media","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/media/RtpStreamSender.java","3","273","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sipdroid.net.impl","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/net/impl/OSNetworkSystem.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.net.impl","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/net/impl/PlainDatagramSocketImpl.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.sipua","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/RegisterAgent.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sipdroid.sipua","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/RegisterAgent.java","3","133","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.sipdroid.sipua","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/SipdroidEngine.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.sipua","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/UserAgent.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.sipua","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/UserAgentProfile.java","3","230","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sipdroid.sipua.phone","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/phone/CallCard.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sipdroid.sipua.phone","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/phone/CallCard.java","3","245","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.sipdroid.sipua.phone","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/phone/CallCard.java","3","770","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sipdroid.sipua.phone","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/phone/PhoneUtils.java","3","61","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sipdroid.sipua.phone","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/phone/SlidingCardManager.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/CallScreen.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/Caller.java","3","54","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/InCallScreen.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/Receiver.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/Receiver.java","3","151","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/Receiver.java","3","689","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/Settings.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/Sipdroid.java","3","186","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/VideoCamera.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/VideoCamera.java","3","438","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.sipdroid.sipua.ui","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/sipdroid/sipua/ui/VideoCamera.java","3","456","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.zoolu.sdp","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sdp/SessionDescriptor.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.address","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/address/SipURL.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.authentication","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/authentication/DigestAuthentication.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.call","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/call/Call.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.call","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/call/CallListener.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.call","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/call/CallListenerAdapter.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.call","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/call/ExtendedCall.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.dialog","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/dialog/Dialog.java","3","166","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.zoolu.sip.dialog","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/dialog/ExtendedInviteDialog.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.dialog","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/dialog/InviteDialog.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.dialog","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/dialog/InviteDialogListener.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.dialog","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/dialog/NotifierDialog.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.header","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/header/AuthenticationHeader.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.message","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/message/BaseMessage.java","3","36","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.zoolu.sip.message","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/message/BaseMessage.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.message","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/message/BaseMessageFactory.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.zoolu.sip.message","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/message/BaseMessageFactory.java","3","88","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","org.zoolu.sip.message","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/message/BaseMessageFactory.java","3","153","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.zoolu.sip.message","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/message/BaseMessageOtp.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.message","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/message/Message.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.sip.provider","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/provider/SipProvider.java","3","88","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.zoolu.sip.provider","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/provider/SipProvider.java","3","89","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.zoolu.sip.provider","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/provider/SipProvider.java","3","980","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.zoolu.sip.provider","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/sip/provider/SipStack.java","3","169","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.zoolu.tools","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/tools/MD5.java","3","268","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.zoolu.tools","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/tools/MD5OTP.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.tools","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/tools/Mangle.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.zoolu.tools","/home/matheus/smell-and-machine-learning/repositories/mconf_sipdroid/src/org/zoolu/tools/Parser.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
