"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.sagemath.droid.activities","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/activities/SageActivity.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sagemath.droid.database","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/database/SageSQLiteOpenHelper.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sagemath.droid.dialogs","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/dialogs/CellDialogFragment.java","3","78","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.sagemath.droid.dialogs","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/dialogs/CellDialogFragment.java","3","183","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sagemath.droid.fragments","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/fragments/AsyncTaskFragment.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sagemath.droid.fragments","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/fragments/CellGroupsFragment.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sagemath.droid.fragments","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/fragments/CellListFragment.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sagemath.droid.interacts","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/interacts/InteractView.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sagemath.droid.models.database","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/models/database/Cell.java","3","14","The class 'Cell' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=14, WMC=19)","Design","DataClass"
"1","org.sagemath.droid.models.database","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/models/database/Group.java","3","14","The class 'Group' is suspected to be a Data Class (WOC=14.286%, NOPA=1, NOAM=4, WMC=8)","Design","DataClass"
"1","org.sagemath.droid.models.database","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/models/database/Insert.java","3","10","The class 'Insert' is suspected to be a Data Class (WOC=22.222%, NOPA=1, NOAM=5, WMC=10)","Design","DataClass"
"1","org.sagemath.droid.models.gson","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/models/gson/HtmlReply.java","3","27","The class 'HtmlData' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","org.sagemath.droid.models.gson","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/models/gson/InteractReply.java","3","33","The class 'InteractContent' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"2","org.sagemath.droid.models.gson","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/models/gson/InteractReply.java","3","80","The class 'SageInteract' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=8, WMC=10)","Design","DataClass"
"1","org.sagemath.droid.models.gson","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/models/gson/PythonErrorReply.java","3","20","The class 'PythonErrorContent' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","org.sagemath.droid.models.gson","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/models/gson/Request.java","3","13","The class 'Request' is suspected to be a Data Class (WOC=18.182%, NOPA=1, NOAM=6, WMC=12)","Design","DataClass"
"1","org.sagemath.droid.models.gson","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/models/gson/Values.java","3","11","The class 'Values' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=6)","Design","DataClass"
"1","org.sagemath.droid.views","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/views/OutputView.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sagemath.droid.views","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/views/OutputWebView.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.sagemath.droid.websocket","/home/matheus/smell-and-machine-learning/repositories/sagemath_android/src/org/sagemath/droid/websocket/HybiParser.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
