"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.android.apps.mytracks","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/AbstractSendToGoogleActivity.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/ChartView.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/MarkerListActivity.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/SearchListActivity.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/TrackDetailActivity.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/TrackEditActivity.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.google.android.apps.mytracks","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/TrackEditActivity.java","3","87","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.android.apps.mytracks","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/TrackListActivity.java","3","96","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.content","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/content/MyTracksProvider.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.content","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/content/SearchEngine.java","3","81","The class 'SearchQuery' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.google.android.apps.mytracks.content","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/content/TrackDataHub.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.content","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/content/TrackDataListener.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.fragments","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/fragments/ChartFragment.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.fragments","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/fragments/MyTracksMapFragment.java","3","82","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.fragments","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/fragments/StatsFragment.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.io.file.exporter","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/io/file/exporter/CsvTrackWriter.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.io.file.exporter","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/io/file/exporter/GpxTrackWriter.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.io.file.exporter","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/io/file/exporter/KmlTrackWriter.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.io.file.exporter","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/io/file/exporter/TcxTrackWriter.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.io.file.exporter","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/io/file/exporter/TrackWriter.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.io.file.importer","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/io/file/importer/AbstractFileTrackImporter.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.mytracks.io.gdata","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/io/gdata/AndroidGDataClient.java","3","162","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.google.android.apps.mytracks.io.gdata.maps","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/io/gdata/maps/MapsFeatureMetadata.java","3","8","The class 'MapsFeatureMetadata' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=15)","Design","DataClass"
"1","com.google.android.apps.mytracks.io.gdata.maps","/home/matheus/smell-and-machine-learning/repositories/MyTracks/MyTracks/src/com/google/android/apps/mytracks/io/gdata/maps/MapsGDataConverter.java","3","62","Avoid really long methods.","Design","ExcessiveMethodLength"
