"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.github.pockethub.android.tests","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/androidTest/java/com/github/pockethub/android/tests/NewsEventTextTest.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.pockethub.android.tests.util","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/androidTest/java/com/github/pockethub/android/tests/util/HtmlUtilsTest.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.pockethub.android","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/Intents.java","3","199","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.pockethub.android.accounts","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/accounts/LoginActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.pockethub.android.accounts","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/accounts/LoginWebViewActivity.java","3","47","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.pockethub.android.core.code","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/core/code/FullTree.java","3","36","The class 'FullTree' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=4)","Design","DataClass"
"1","com.github.pockethub.android.core.code","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/core/code/RefreshTreeTask.java","3","124","The class 'RefreshTreeModel' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","com.github.pockethub.android.dagger","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/dagger/ActivityBuilder.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.pockethub.android.ui","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/ui/ItemListFragment.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.pockethub.android.ui","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/ui/MainActivity.java","3","84","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.pockethub.android.ui","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/ui/NewsFragment.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.pockethub.android.ui","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/ui/PagedItemFragment.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.pockethub.android.ui.commit","/home/matheus/smell-and-machine-learning/repositories/github_android/app/src/main/java/com/github/pockethub/android/ui/commit/CommitCompareListFragment.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
