"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.cyclestreets","/home/matheus/smell-and-machine-learning/repositories/cyclestreets_android/libraries/cyclestreets-core/src/main/java/net/cyclestreets/CycleStreetsPreferences.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.cyclestreets.api","/home/matheus/smell-and-machine-learning/repositories/cyclestreets_android/libraries/cyclestreets-core/src/main/java/net/cyclestreets/api/POI.java","3","7","The class 'POI' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=7, WMC=13)","Design","DataClass"
"1","net.cyclestreets.api","/home/matheus/smell-and-machine-learning/repositories/cyclestreets_android/libraries/cyclestreets-core/src/main/java/net/cyclestreets/api/Photo.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.cyclestreets.util","/home/matheus/smell-and-machine-learning/repositories/cyclestreets_android/libraries/cyclestreets-core/src/main/java/net/cyclestreets/util/Base64.java","3","150","Avoid really long classes.","Design","ExcessiveClassLength"
"2","net.cyclestreets.util","/home/matheus/smell-and-machine-learning/repositories/cyclestreets_android/libraries/cyclestreets-core/src/main/java/net/cyclestreets/util/Base64.java","3","151","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","net.cyclestreets.util","/home/matheus/smell-and-machine-learning/repositories/cyclestreets_android/libraries/cyclestreets-core/src/main/java/net/cyclestreets/util/Base64.java","3","834","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.cyclestreets.api.client","/home/matheus/smell-and-machine-learning/repositories/cyclestreets_android/libraries/cyclestreets-core/src/test/java/net/cyclestreets/api/client/RetrofitApiClientIntegrationTest.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.cyclestreets.api.client","/home/matheus/smell-and-machine-learning/repositories/cyclestreets_android/libraries/cyclestreets-core/src/test/java/net/cyclestreets/api/client/RetrofitApiClientTest.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.cyclestreets","/home/matheus/smell-and-machine-learning/repositories/cyclestreets_android/libraries/cyclestreets-fragments/src/main/java/net/cyclestreets/LocationEditorActivity.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.cyclestreets.track","/home/matheus/smell-and-machine-learning/repositories/cyclestreets_android/libraries/cyclestreets-track/src/main/java/net/cyclestreets/track/CyclePoint.java","3","8","The class 'CyclePoint' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=2)","Design","DataClass"
