"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.ub0r.android.websms","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/MobilePhoneAdapter.java","3","38","The class 'MobilePhoneAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","de.ub0r.android.websms","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/WebSMS.java","3","117","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.ub0r.android.websms","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/WebSMS.java","3","118","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.ub0r.android.websms","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/WebSMS.java","3","422","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","de.ub0r.android.websms","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/WebSMS.java","3","624","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","de.ub0r.android.websms","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/WebSMS.java","3","2196","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.ub0r.android.websms","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/WebSMSReceiver.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.ub0r.android.websms","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/WebSMSReceiver.java","3","522","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.ub0r.android.websms.rules","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/rules/EditRuleFragment.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.ub0r.android.websms.rules","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/rules/EditRuleFragment.java","3","104","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.ub0r.android.websms.rules","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/rules/Rule.java","3","7","The class 'Rule' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"1","de.ub0r.android.websms.rules","/home/matheus/smell-and-machine-learning/repositories/websms/WebSMS/src/main/java/de/ub0r/android/websms/rules/RulesEditorFragment.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
